,CoinDate,CoinText
0,2023-02-28,"The volatility of bitcoin (BTC) and ether (ETH) has been declining in recent days, despite an increasingly uncertain regulatory and interest rate environment.Since Feb. 24, the average true range (ATR) for BTC and ETH has fallen 16% and 11%, respectively. ATR is a measure of market volatility.By comparison, the ATR for traditional financial indices (S&P 500, Nasdaq Composite, Dow Jones Industrial Average) declined 2.7%, 2.1% and 1.5%, respectively, over the same period.The reduced volatility follows last week’s unexpectedly hot inflation data, which offered compelling evidence the U.S. Federal Reserve will need to continue its current hawkish pace of interest rate hikes for an extended time.To be sure, markets still anticipate the Fed's Federal Open Market Committee will raise rates by 25 basis points (bps) during its March 22 meeting, although the probability of a 50 bps increase has ticked up slightly. Still, inflationary fears are arguably more concerning than regulatory ones. India, which is currently president of the G-20 group of nations, appears to be pushing for a coordinated global effort to regulate cryptocurrencies. The United States supports the initiative.A synthesis paper to be published in September by the Financial Stability Board (FSB) and the International Monetary Fund (IMF) will provide more detail about a regulatory framework.Crypto markets have not responded to either with a spike in volatility. Rather, BTC and ETH’s Bollinger Bands suggest the opposite. Bollinger Bands follow an asset’s 20-day moving average, simultaneously plotting prices two standard deviations above and below the average. They reflect increased or decreased volatility.It's been 43 days since bitcoin or ether prices have breached the upper range of their respective Bollinger Bands. The range of BTC’s Bollinger Bands currently spans from approximately $21,000 to 25,600. For ETH, the current range runs from $1,490 to $1,750.Current prices for both are at their 20-day moving averages, further highlighting the recent contraction in volatility."
1,2023-02-28,"The direction the price of bitcoin and other cryptocurrencies takes likely depends on whether the U.S. Federal Reserve takes a more hawkish approach to raising interest rates as it battles inflation, Imran Lakha, the founder of Options Insights, said Tuesday.Earlier this month, bitcoin (BTC), the largest cryptocurrency by market capitalization, reached its highest level since August. But bitcoin declined after Friday's personal consumption expenditures (PCE) price index data from the U.S. Commerce Department climbed by an unexpectedly robust 5.4% in January. Economists had predicted a 5% increase.Bitcoin and other cryptos fell after the report was released. In addition, according to the CME's FedWatch tool, the odds of the U.S. Federal Reserve hiking its benchmark fed funds rate by 50 basis points in March have risen thanks to the PCE index data. That adds to the volatility.Lakha said on CoinDesk TV’s “First Mover” that volatility declined substantially between November and December in the aftermath of the collapse of major crypto companies including exchange FTX.It wasn’t until downside volatility subsided that risk appetite came back to the market, he said. That, in turn, led to more purchases of bullish bets (calls) relative to bearish bets (puts) in the options markets. Call options are financial contracts that give the option buyer the right but not the obligation to buy, while puts give the right but not the obligation to sell.“As we started to see the market could come alive again, and we started to see those big moves of 10%-plus to the upside, all those skews flipped around back towards calls, particularly on bitcoin,” Lakha said.Now, he said interest in puts has more or less “evaporated after the market made that big bottom last year.”BTC is currently trading at just above $23,500, but Lakha did not rule out the possibility it “could trade all the way back down to $16,000” before bouncing back to $28,000 or even $30,000. The implied levels of volatility could be cheap enough to make buying puts attractive again, he said.More broadly, the crypto options market by and large relies on bitcoin staying above the $20,000 to $21,000 threshold to support projects within the industry, Lakha noted.Retail investors who still own crypto are likely in it for the long haul, he said.“They’re not really buying it from a tactical perspective. They’re in it, but they’ve seen the bad times,” Lakha said. “They’re going to probably hold on to it.”See also: Bitcoin at Risk of Deeper Pullback Toward $20K: Chart Analysts"
2,2023-02-28,"As political experts focus on the diplomatic dance amid building tensions between the United States and China (punctuated by some balloon-shaped comic relief that might end up being not so funny after all), a more benign battle is brewing in the halls of financial regulators. While local for now, nothing stays local for long in global markets. The potential ramifications go well beyond crypto markets, potentially shaping economic influence that, in this changing landscape, is more geostrategically important than ever.Earlier this week, Hong Kong’s Securities and Futures Commission (SFC) published the proposed text of its upcoming crypto regulation, slated to go into effect on June 1, and opened it up for public comment. Its scope includes the licensing of crypto-asset service platforms, which were originally only going to be allowed to service accredited investors. The SFC is now seeking input on whether or not retail investors should also be allowed to participate, and what types of protections should be in place. Also open for discussion is the range of “approved” assets, which in principle would only include a limited selection of the most liquid tokens.So far, this seems like yet another example of a jurisdiction way ahead of the United States in terms of regulatory clarity and willingness to engage with the public on the topic. Yet, lifting the lid a little, it is so much more. It is also an example of the East-West strategy divide, the power of retail and the importance of watching the flows.Noelle Acheson is the former head of research at CoinDesk and Genesis Trading. This article is excerpted from her Crypto Is Macro Now newsletter, which focuses on the overlap between the shifting crypto and macro landscapes. These opinions are hers, and nothing she writes should be taken as investment advice.Not that long ago, Hong Kong was not exactly welcoming to crypto businesses, but nor was it overtly antagonistic. It seemed to regard them as largely inconsequential, in contrast to China’s building antagonism. In 2020, Hong Kong announced plans to introduce a new licensing regime to directly regulate all crypto platforms and to limit their reach to accredited investors. This recent move seems not only to clarify those promises but also to broaden the scope and take into account what the regulators see as growing retail interest.Yet, it's about more than licensing. Hong Kong has also budgeted HK$50 million (~$6.4 million) for crypto asset development, including education efforts for individuals and businesses. And Hong Kong's financial secretary, Paul Chan, announced the launch of a task force composed of policy and industry representatives to explore crypto asset integration. This feels much broader and longer-term than just crypto service provider oversight.In part, it’s about laying some groundwork for the economic growth of the region. Hong Kong’s economy depends largely on financial services and tourism from the mainland, both of which were hit hard by the strict COVID-19 pandemic lockdowns. It recently reported its fourth consecutive quarterly GDP contraction, and the region’s Chief Executive John Lee has vowed to prioritize attracting foreign talent. Most crypto firms based in Hong Kong left as China’s 2021 crypto trading and mining ban cast a cloud of operational uncertainty. Now, several have announced they will be applying to return.It's also about more than just Hong Kong and its 7 million residents. Hong Kong is obviously closely affiliated with China. The two jurisdictions operate under the constitutional principle of “one country, two systems,” which separates Hong Kong’s economic administration from that of its much larger parent. But events leading up to and during the recent protests made clear to the world that China holds the reins, and that nothing happens in Hong Kong without China’s approval.Here’s where it gets particularly interesting: China seems to approve of Hong Kong’s crypto moves.Earlier last week, Bloomberg reported that Chinese officials had been seen at Hong Kong crypto events. They were not undercover. In January, Huang Yiping, a former member of the monetary policy committee of China’s central bank, said in a public speech the country should reconsider its crypto ban. He was not speaking on behalf of the central bank, but it is extremely unlikely his speech would have become public without official approval.None of this necessarily means that mainland China will be opening up to crypto markets any time soon – but it could be that China is watching Hong Kong’s moves with a view to relaxing its stance and eventually supporting the integration of global crypto assets into its economy.This matters, in part, because of size. There are no small numbers in China, and the sheer scale of the potential participant pool could dwarf virtually any market. The country reportedly has 212 million retail investors – for comparison, the entire population of the United States is approximately 330 million. Many of these investors have withdrawn from the stock market given the economic uncertainty during the dark lockdown period, but with the improving outlook some of the buildup of pandemic savings could be looking for high returns.What’s more, Chinese retail investors tend to be less risk-averse than their U.S. counterparts. In general, they prefer momentum chasing to steady yields, which, in part, explains their enthusiasm for crypto markets a few years ago and why the potential risk of a wipeout grew to the stage where the government felt the need to close off access. It did not manage to completely stamp out crypto activity, however – 8% of FTX’s creditors are mainland-based, according to the filings, and China-based miners could account for approximately 20% of global hashrate, according to the most recent study of bitcoin mining published by Cambridge.Also, China is one of the few regions of the world actively easing money supply. Earlier this month, the central bank ramped up liquidity injections while keeping the monetary policy rate steady, but analysts expect the committee to continue to cut rates in the second quarter. The number of new loans extended by Chinese banks more than tripled between December and January. Most of us don’t have to cast our memories too far back to remember what monetary easing can do for risk assets.It also matters, in part, because of geopolitics. It is no secret that China would like to see a weakening of the dollar’s international role without actually hurting the dollar, and it seems to understand that the role of U.S. capital markets is a key factor in global trade. For a few years now financial regulators have been working to encourage more activity on Chinese markets, such as opening them more to foreign investors, enabling more hedging, streamlining onshore listing requirements and boosting trade settled in yuan.Allowing the opening of crypto markets could, of course, encourage more flows out of the yuan, which the Chinese authorities would understandably prefer to avoid. But if crypto assets and the innovation they bring are going to be key to the development of the financial markets of tomorrow, then China would obviously want some influence. Furthermore, China is probably watching with interest the building antagonism toward crypto from Washington, D.C. If the U.S. sees crypto markets as a threat, it could be a threat worth exploring.This is representative of the typical strategic approaches of the two economic superpowers. I once heard someone compare the relative philosophies to board games popular in each region. In the U.S. they play chess, where you win by killing your opponent’s leader. In China they prefer Go, where you win by conquering and holding onto territory. It could be that Chinese leaders see crypto assets as a territory play, with global financial markets as the playing field. Rather than an enemy to be weakened, crypto markets could be a strategic pillar of a new world order, or at the very least an opportunity to attract global capital, talent and prestige.So far this year, analysts have been focusing on macro factors as the main driver of crypto market performance, with evolving use cases and technical speculation also a feature of the recovery. It could be that a more significant driver is slowly building on the global strategy stage – specifically, in the geopolitical rivers of the east."
3,2023-02-28,"Bitcoin's (BTC) recent technical failure at key price resistance has raised the risk of a deeper pullback, according to analysts studying price charts.The leading cryptocurrency's upswing has recently stalled, with prices failing to crack resistance at $25,200, which capped the August bounce.""Bitcoin has been unable to break out above trading range resistance near $25.2K, resulting in a whipsaw lower for the daily MACD,"" Katie Stockton, founder and managing partner at Fairlead Strategies, said in a note to clients on Monday, using the acronym for ""moving average divergence/convergence,"" an indicator used to gauge trend strength and trend changes. ""Given the MACD 'sell' signal, and with room to oversold levels per the daily stochastics, we shift to a bearish short-term bias.""Stockton expects bitcoin to revisit $20,000 after brief stabilization at around the 50-day simple moving average, currently at $22,567. At press time, bitcoin was changing hands near $23,500.The MACD histogram has recently dropped below zero, indicating a bearish shift in momentum. Aficionados of technical analysis consider MACD's bearish shift to be a sell signal.Meanwhile, the stochastic indicator, used to gauge overbought and oversold conditions, is yet to fall below 30, implying room for price declines. A reading below 30 indicates an asset is oversold and usually marks an end to price drops.According to Alex Kuptsikevich, senior market analyst at FxPro, bitcoin's weekly chart also favors a deeper pullback.""Technically, bitcoin is selling off after touching its 200-week moving average. And due to the negative momentum at the end of the week, it has also fallen below the 50-week moving average. This dynamic may be a prologue to further declines, a predictable tug-of-war near trend levels,"" Kuptsikevich said in an email on Monday.Bitcoin has turned lower from its 200-week simple moving average (SMA) after facing rejection above the same for two consecutive weeks.The 50-week SMA has dropped below the 200-week SMA, producing what is known as the ""death cross,"" a bearish development.The expected price decline, however, would be a temporary bull breather, according to Kuptsikevich.""A pullback in bitcoin to $21.5K would remain a correction within a bull market, but a sharp drop below that level could force a reassessment of whether we are out of a bear market,"" Kuptsikevich said."
4,2023-02-28,"Liquidity conditions in the bitcoin (BTC) and ether (ETH) markets continue to worsen, and the situation is now more alarming than it was three months ago. That has traders worried about abrupt price swings in the crypto market.Liquidity refers to the ability of the market to absorb large buy and sell orders at stable prices. The commonly used metric for assessing liquidity conditions is 2% of market depth – a collection of buy and sell offers within 2% of the mid-price or the average of the bid and the ask/offer prices.More significant the depth, the more liquid an asset is said to be, and vice versa.Data from Paris-based crypto data provider Kaiko show bitcoin's 2% market depth for USDT pairs aggregated from 15 centralized exchanges has slipped to 6,800 BTC, the lowest since May 2022 when the Terra network collapsed and below the level that followed the demise of crypto exchange FTX. It's down significantly from the October highs of above 15,000 BTC. Ether's 2% market depth has more than halved to 57,000 ETH since October, led by Binance.""Thin liquidity means more drastic moves, particularly in alternative cryptocurrencies,"" Matthew Dibb, chief investment officer at Astronaut Capital, said.""Funds trying to trade size are forced to TWAP over longer periods (days or weeks) hence why it looks like some charts have recently been 'walked up' such as STX,"" Dibb added.TWAP, or time-weighted average price, is an algorithmic strategy focused on achieving an average trade execution price close to the time-weighted average price of the asset. In other words, it involves breaking a large order into smaller quantities and executing those at regular intervals to minimize the impact on the going market and reduce slippage.Slippage is the difference between the expected price at which a trade is placed and the actual price at which the buy/sell transaction is executed. Slippage usually occurs when there is low market liquidity or high volatility.""Realistically, though, dwindling market depth has also meant that most large funds have not been participating at the same level as previous due to the amount of slippage associated,"" Dibb noted, adding that any large institution that offloads coins now is going to have a deeper effect on the market.The latest decline in the market depth comes amid dwindling volatility expectations in the bitcoin market. This kind of situation often leads to sudden explosion in volatility, according to Griffin Ardern, a trader from crypto asset-management firm Blofin.The Bitcoin Volatility Index (BVIN), which measures the implied or expected volatility over the next 30 days, has declined to 56.39, its lowest level since at least early 2021, according to data source CryptoCompare.Bitcoin's seven-day variance risk premium, or the difference between the seven-day implied volatility and seven-day realized volatility, has flipped negative, according to data tracked by Amberdata. It shows short-term volatility expectations are underpriced.""An environment conducive to high volatility is being created,"" Ardern said. ""And because the depth is low, it only takes a small amount [buy/sell order] to influence the price, and the resulting hedging activity of market makers to amplify market volatility through hedging.""Market makers always take the opposite side of investors' trades and maintain a market-neutral portfolio by buying and selling the underlying asset as the price swings. Their hedging activity is known to influence the bitcoin's spot market price and could have an outsized impact this time, thanks to low market depth.The crypto market liquidity began drying up in mid-November after Alameda Research and FTX went bust. Alameda was one of the most prominent market makers, providing billions of dollars in liquidity to small- and large-cap tokens. The resulting contagion brought down several trading desks, including Arbitrage and high-frequency trading firms, and hurt prominent market makers like Genesis, which is owned by CoinDesk's parent company, Digital Currency Group.""It's likely all the major market makers were affected, to varying degrees, by the collapse of FTX. As a result, several liquidity providers have likely scaled back or even ceased their market-making activities as part of an overall effort to de-risk,"" Dick Lo, founder and CEO of TDX Strategies, said.""There's also been a migration of positions to decentralized exchanges to minimize counterparty risk, hence the growth in volumes at popular decentralized trading venues such as GMX,"" Lo added."
5,2023-02-28,"Good morning. Here’s what’s happening:Prices: Bitcoin stays rooted near the $23.5K threshold. Ether and many other major cryptos trade flat.Insights: China-based developers can interact with layer 1 blockchain Conflux, but the protocol's relationship with the country remains complicated.Bitcoin Holds Firm Near $23.5KBitcoin continued its weekend encampment near $23,500 into Monday as investors spent yet another day weighing fiendishly stubborn inflation and the prospects of the U.S. Federal Reserve hiking interest rates more hawkishly than was previously expected.The largest cryptocurrency by market capitalization was recently trading at $23,481, roughly flat over the past 24 hours, but down from its highs a week ago over $25,000 – before surprisingly strong jobs and price data had markets increasingly contemplating the prospect of a 50 basis point rate increase instead of 25 bps.“Markets of late have been pricing in rates that will remain higher for longer than previously anticipated because of inflation numbers that seem to be rather stubborn,"" Brent Xu, CEO and co-founder of Web 3 bond-market platform Umee, wrote in an email to CoinDesk. ""A possible 50-basis-point hike could be in the offing now, too.""Yet Xu also noted hopefully that crypto markets have not seen ""a massive drawdown ... that the more alarmist crypto Twitter commentators have been warning about.""""I suspect that we haven’t seen a massive pullback because the forced sellers have already sold,"" he wrote, adding: ""Last year’s daisy chain of blowups appears to have mostly come to an end. This isn’t to say that we can’t go lower from here. But a bottom for this cycle is probably in now, and in turn we are probably in an accumulation phase. I think we need to be prepared for sideways action for some time.”Ether was almost equally flat, changing hands at about $1,630. Most other major cryptocurrencies were flat or edged down slightly with layer 2 platform Polygon's MATIC token and decentralized finance protocol Aave's AAVE token both recently down about 3%. The CoinDesk Market Index, a measure of crypto markets overall performance ticked down about 0.36%.After a week to forget, equity markets returned to their winning ways, however slightly. The tech-focused Nasdaq, S&P 500 and Dow Jones Industrial Average (DJIA) all ticked up a few fractions of a percentage point. Treasury yields dipped slightly but remained fretfully high at above $3.90 on a 10-year note.To be sure, some crypto news Monday was ominous for markets, none more than a report by crypto asset manager CoinShares that short-bitcoin funds had $10 million in inflows during the week ended Feb. 24 and that long-bitcoin funds bled $12 million, the third straight weekly outflow. Later in the day, crypto exchange Coinbase tweeted that it would suspend trading of Binance USD (BUSD) starting March 13 because the stablecoin doesn’t meet its listing standards – the latest body blow to the stablecoin sector.Yet, at least one other analyst was feeling at least partly upbeat about crypto prices' path forward. In an interview with CoinDesk TV, Bruno Ramos de Sousa, head of new markets at crypto asset manager Hashdex, said that markets were ""in the recovery phase already ... past the bottom."" Ramos de Sousa noted increased interest among institutional investors in recent months.""They're educated in the sector, and they're looking for interesting windows to come in,"" he said. ""These are hedge funds, family offices, people concerned with bottoms and ups.""Layer 1 Blockchain Conflux Has a Complicated Relationship With ChinaBeijing is pro-blockchain, but anti-crypto. It sees the former as a key technology, as important in the 21st century as the hypertext transport protocol (HTTP) was in the 20th; the latter is a speculative asset that inhibits the worst parts of capitalism.Meanwhile, ""China"" tokens are surging. ""China"" is in quotes because most of these projects like NEO, VeChain (VET), and Conflux (CFX) go to great lengths to limit their exposure to China. They have development teams in China, but the company is registered offshore.You can use the technology within the country, just not trade the token. A version of NEO is available on China’s Blockchain Service Network, for instance, but this exists as a seperate universe from the NEO the rest of the world sees in order to comply with local law.In many cases, these tokens are divorced from the project. You can’t see China data on-chain, and it might be questionable as to what is driving the token’s growth.Conflux’s CFX token is the exception to this.Can you trade Conflux’s CFX token in China? No.Can someone within China interact with the Western-facing portion of the Conflux chain? Also no, these parts are segregated.But at the same time, CFX is the tie that binds the two together.""There is only one chain, but we have two spaces,"" Fan Long, Conflux’s co-founder, told CoinDesk by email. ""You can think of the spaces acting like independent chains but they share the same consensus engine. There is no security risk of moving assets across two spaces.""Within China, CFX relies on Conflux’s sponsorship mechanism, which allows ordinary users to interact with smart contracts without holding crypto. Stuff still exists on-chain minus the gas fees.Developers of decentralized applications, such as China’s version of Instagram called “Little Red Book,” buy CFX from Conflux directly. They pay in fiat and get an official receipt. In many ways, it would be similar to paying for a cloud service hosting bill.“Because the public chain must have a native token governing its resources for gas, and China does not encourage anything related to fungible tokens, we choose to have foreign entities to govern the token issuance of CFX,” Long said.One can see on-chain how CFX is used. Below shows the on-chain activity for a digital collectible, China’s version of a non-fungible token (which it calls “digital collectibles,” and tolerates if speculation is not involved) on its version of Instagram.In many ways, CFX could be thought of as a proxy of success for Conflux within China. But is there enough interest to drive and sustain triple-digit growth on the CFX token?ETHDenver 2023Annual BEAR Research Conference: New Digital Technologies and the Future Financial Landscape (Bank of England Conference Centre)12:00 a.m. HKT/SGT(16:00 UTC) China Non-Manufacturing PMI (Jan)In case you missed it, here is the most recent episode of ""First Mover"" on CoinDesk TV:Solana's Weekend Deep Freeze; 2023 Crypto Crime TrendsSolana's (SOL) price rose over the past 24 hours after the protocol crashed over the weekend, freezing transactions. The Solana Foundation said an investigation is underway into the root cause and will be updated as new information becomes available. CoinDesk Managing Editor for Data and Tokens Danny Nelson gave an update and CoinFund Managing Partner Seth Ginns shared his reaction. Plus, Chainalysis Director of Research Kim Grauer discussed the outlook for illicit crypto volumes in a new report.Coinbase Trade Volume Surpasses Uniswap’s, Countering Expectations for a DEX Surge: Many market observers expected a surge in the use of decentralized exchanges following the collapse of FTX, but analysts said many DEXs offer a less-user-friendly experience than centralized ones.Crypto Conglomerate Digital Currency Group Reports Loss of $1.1B in ‘Challenging’ 2022: The CoinDesk parent held cash and cash equivalents of just $262 million at the end of 2022, while investment assets amounted to $670 million.Coinbase to Suspend Binance USD Stablecoin, Saying It Doesn’t Meet Listing Standards: The suspension affects Coinbase.com, Coinbase Pro, Coinbase Exchange and Coinbase Prime.TrueUSD Becomes 5th-Largest Stablecoin as Binance Mints $130M TUSD in a Week: Blockchain data shows crypto exchange giant Binance has been relying increasingly on TUSD following a crackdown on its Binance USD stablecoin by U.S. regulators.DeFi Giant MakerDAO Rejects $100M Loan to Cogent Bank: The rejection follows less than a year after Maker approved a similarly structured loan to Huntingdon Valley Bank."
6,2023-02-27,"Bitcoin’s (BTC) momentum this year has yet to ignite larger-scale investment in other crypto assets such as stablecoins.Despite BTC’s 43% rise in 2023 and the 38% gain of ether (ETH), a significant amount of capital remains inactive, major stablecoin indicators suggest.Most notably, the stablecoin supply, which serves as a key mechanism by which many crypto assets are purchased, has been declining. When the stablecoin supply increases, it implies there is more capital to purchase crypto assets. When the supply of stablecoins falls, it implies the opposite.The aggregate supply net position change of the top four stablecoins (USDT, USDC, BUSD and DAI) has been negative since Sept. 14, and has been trending lower since Feb 7.For historical context, the aggregate supply net position change for stablecoins was positive between February and March in 2022, reflecting strong demand for digital assets during that time period.Meanwhile, the stablecoin supply ratio (SSR), another key stablecoin indicator that measures the ratio of bitcoin’s market cap to the market cap of stablecoins, has been increasing, indicating that the buying power of stablecoins has decreased relative to BTC.The current SSR may indicate an underlying decrease in demand for BTC exists. But a more optimistic interpretation is that capital is sitting on the sidelines to be deployed in some capacity in the near future. While BTC has traded in negative territory in five of the most recent seven days, volume was relatively in line with its 20-day average.In some cases, BTC trading volume fell below its 20-day average. The same holds true for ETH, which has traded lower recently, but on average to below-average volume. At the moment, BTC and ETH appear to be establishing new levels of support near $23,000 and $1,640, respectively.The longer that BTC and ETH trade near these ranges, the more confidence investors are likely to have in those levels. The supply of stablecoins may be an important signal to watch and not just an indication of negative sentiment. A shift from where supply currently stands to where it stood between 2020-2022 could indicate a move higher."
7,2023-02-27,"Bitcoin layer 2 Stack Network's STX token on Monday rose to a fresh nine-month high of 97 cents, bringing its month-to-date gain to 220%. The Ordinals-driven rally, however, failed to impress derivatives traders.Data from Coinglass shows the funding rates in the perpetual futures market tied to STX remained negative even as open interest, or the dollar value locked in the number of active perpetual futures contracts, doubled to $80 million.In other words, new money entering the perpetual futures market amid the continued price rally is betting on a reversal. The negative funding rate – the cost of holding bullish long/bearish short positions in perpetuals – implies that leverage is skewed on the bearish side.""It could be a case of traders fading the hype of STX and shorting, largely due to the return of deeply negative after every price rally in the last week,"" Conor Ryder, research analyst at Paris-based Kaiko, told CoinDesk. ""I suspect traders are betting that there isn't a follow-up to Bitcoin NFTs and this is more of a flash in the pan.""Stacks Network, focused on unleashing Bitcoin's potential as a programmable blockchain, has been the beneficiary of the non-fungible token (NFT) on Bitcoin fever kicked off by the launch of the Ordinals protocol on Jan. 21. Ordinals are NFT-like art references inscribed on a satoshi, the lowest denomination of bitcoin (BTC).Per Ryder, the negative funding rates could also be due to STX being a relatively illiquid token.""As funding rates are the difference between spot and futures, when spot prices surge disproportionately more than derivatives, often due to illiquidity, this can cause funding to move deeply negative,"" Ryder said.Another possibility is that some traders, who bought STX in the spot market early this month, sold perpetual futures to lock in profits on the long spot position and bypass potential price volatility over the coming days."
8,2023-02-27,"This article originally appeared in First Mover, CoinDesk’s daily newsletter putting the latest moves in crypto markets in context. Subscribe to get it in your inbox every day.Short-bitcoin funds saw inflows of $10 million last week compared with outflows of $12 million from long positions, according to crypto asset manager CoinShares, as upbeat U.S. economic data weakened investors’ appetite for risky assets. BTC fell below $23,000 on Saturday, its lowest point since Feb. 15. Short-bitcoin funds, which profit from a decline in the price of BTC, saw inflows last week while the price of bitcoin fell over 3% after it failed to consolidate above $25,000. ""We believe this reaction reflects nervousness amongst U.S. investors prompted by the recent stronger-than-expected macro data releases, but also highlights its sensitivity to the regulatory crackdown in the U.S.,"" CoinShares said in a weekly report.Liquid staking is the new second-largest crypto sector, overtaking decentralized lending and borrowing. Liquid staking is now a $14.1 billion sector based on the total value of assets that have been locked on blockchain networks by users in return for rewards. Decentralized lending and borrowing protocols have $13.7 billion locked, while decentralized exchanges remain the largest sector with $19.4 billion. The upcoming Shanghai software upgrade on the Ethereum blockchain is seen as the catalyst for the rise of liquid staking because it will enable stakers to withdraw the ether they have staked and accumulated rewards on for the first time.Texas regulators have said the benefits to creditors from Binance.US’ proposed acquisition of bankrupt lender Voyager Digital may be negligible. A court filing Friday said the benefits hinge on whether Alameda Research is successful in recovering $446 million transferred to Voyager prior to its own bankruptcy. The court document also detailed concerns over Binance’s staking program, which it said appears to constitute an illegal securities offering. Alameda Research is a trading firm affiliated with collapsed crypto exchange FTX. It was also owned by FTX founder Sam Bankman-Fried.- Omkar Godbole"
9,2023-02-27,"Prominent crypto investment funds are turning to tokens of the Stacks Network as they bet on the growth of Bitcoin. Stacks is a so-called layer 2 companion chain for smart contracts focused on bitcoin (BTC), the largest cryptocurrency by market cap, allowing for the creation of related financial products.Stack’s STX tokens have jumped 23% in the past 24 hours, adding to a 50% surge over a seven-day rolling period, CoinGecko data shows. Demand for the tokens has increased since the arrival of the Ordinals protocol, which went live on Jan. 21 and allows users to inscribe references to digital art into small transactions on the Bitcoin blockchain. The token's market cap topped $1.2 billion as of Monday.A recently published investment thesis by North Rock Digital highlighted Stacks' focus on decentralized finance (DeFi), the innovative use of smart contracts and its compatibility with Bitcoin as attributes that set it apart from other blockchain projects.“We believe there is a massive and relatively untapped market opportunity, a huge cultural inflection point in the community (sparked by ordinals) and transformative Stacks upgrade coming later this year,” North Rock Digital founder Hal Press said in a tweet over the weekend.The firm noted that Stacks has a strong community, experienced leadership and a clear road map for growth, and concluded that investing in Stacks could yield big returns as the project develops and gains adoption.Since its launch, Ordinals has caused a spike in bitcoin transactions and a resurgence in Bitcoin network development. It has also reignited discussions of Bitcoin scaling – a controversial topic in crypto circles.So far, more than 197,000 unique inscriptions, a term for each individual token on Ordinals, have been conducted, Dune Analytics data shows.North Rock didn't disclose specifics of its STX investment. Press didn't immediately respond to requests for comments.In its thesis, North Rock said Stacks offers several advantages over blockchain platforms such as Ethereum, including lower fees, faster transaction times and enhanced security.The analysis also explores potential use cases for Stacks technology, including the creation of decentralized social-media platforms, prediction and trading markets and lending and borrowing applications. Such products are the bedrock for $50 billion in locked token value on applications built on other blockchains, data from DefiLlama shows.A Stacks upgrade scheduled for March 20 may have also contributed to the recent price growth of STX. Developers introduced the Stacks 2.1 upgrade in a post last week that details several new features and improvements to the protocol.One of the main features is the introduction of ""Stacking 2.0,"" an updated version of the Stacks consensus mechanism. Stacking is a process in which STX token holders can lock up their tokens to help secure the network and earn rewards.Stacking 2.0 aims to make the process more accessible and inclusive by allowing smaller token holders to participate and earn rewards. The upgrade will also add improvements to smart contract functionality, enhanced scalability through the use of a new ""microblocks"" feature and better support for non-fungible tokens (NFTs)."
