,CoinURL
0,/data
1,/podcasts/
2,/podcasts/coindesk-podcast-network/headlines-top-stories-of-the-week-05-01-23/
3,/podcasts/
4,/podcasts/coindesk-podcast-network/new-york-attorney-general-seeks-new-crypto-powers-for-state-regulators-mewe-ceo-on-user-privacy-efforts/
5,/policy
6,/policy/2023/05/05/voyager-digital-plans-to-liquidate-assets-wind-down-after-sale-dreams-crushed/
7,/videos
8,/video/bitcoin-ordinals-controversy-brews-montanas-governor-signs-new-crypto-mining-bill-into-law/
9,/videos
10,/video/biden-administration-pushes-for-punitive-tax-on-crypto-mining/
11,/videos
12,/video/bitcoins-average-transaction-fee-jumps-data/
13,/tv/all-about-bitcoin
14,/tv/all-about-bitcoin/the-central-african-republics-bitcoin-experiment-bidens-push-for-punitive-tax-on-crypto-mining/
15,/podcasts/
16,/podcasts/markets-daily/crypto-update-financial-crossroads-bitcoins-resilience-gold-vs-crypto-job-market-surprises-and-the-chinese-french-cbdc-connection/
17,/videos
18,/video/bitcoins-activity-pushes-average-transaction-fee-to-nearly-2-year-high/
19,/consensus-magazine
20,/consensus-magazine/2023/05/05/the-need-for-clarity-in-washington-not-just-on-crypto/
21,/podcasts/
22,/podcasts/coindesk-podcast-network/headlines-top-stories-of-the-week-05-01-23/
23,/podcasts/
24,/podcasts/coindesk-podcast-network/new-york-attorney-general-seeks-new-crypto-powers-for-state-regulators-mewe-ceo-on-user-privacy-efforts/
25,/policy
26,/policy/2023/05/05/voyager-digital-plans-to-liquidate-assets-wind-down-after-sale-dreams-crushed/
27,/videos
28,/video/bitcoin-ordinals-controversy-brews-montanas-governor-signs-new-crypto-mining-bill-into-law/
29,/videos
30,/video/biden-administration-pushes-for-punitive-tax-on-crypto-mining/
31,/videos
32,/video/bitcoins-average-transaction-fee-jumps-data/
33,/tv/all-about-bitcoin
34,/tv/all-about-bitcoin/the-central-african-republics-bitcoin-experiment-bidens-push-for-punitive-tax-on-crypto-mining/
35,/podcasts/
36,/podcasts/markets-daily/crypto-update-financial-crossroads-bitcoins-resilience-gold-vs-crypto-job-market-surprises-and-the-chinese-french-cbdc-connection/
37,/videos
38,/video/bitcoins-activity-pushes-average-transaction-fee-to-nearly-2-year-high/
39,/consensus-magazine
40,/consensus-magazine/2023/05/05/the-need-for-clarity-in-washington-not-just-on-crypto/
41,/es/markets
42,/es/markets/2023/05/05/los-inversores-institucionales-prefieren-el-oro-en-lugar-de-bitcoin-por-las-medidas-regulatorias-de-ee-uu/
43,/consensus-magazine
44,/consensus-magazine/2023/05/05/pump-the-brcs-the-promise-and-peril-of-bitcoin-backed-tokens/
45,/tv/the-hash
46,/tv/the-hash/new-york-attorney-general-seeks-new-crypto-powers-for-state-regulators-mewe-ceo-on-user-privacy-efforts/
47,/policy
48,/policy/2023/05/05/craig-wright-shows-prima-facie-evidence-of-contemptuous-conduct-us-judge-says/
49,/learn/
50,/learn/securities-vs-commodities-why-it-matters-for-crypto/
51,/videos
52,/video/bitcoin-little-changed-as-us-adds-253k-jobs-in-april/
53,/tv/first-mover
54,/tv/first-mover/bitcoin-hovers-around-29k-after-april-jobs-report-are-cbdcs-becoming-a-presidential-election-issue/
55,/markets
56,/markets/2023/05/05/first-mover-americas-memecoin-pepe-hits-1b-market-cap/
57,/markets
58,/markets/2023/05/05/us-adds-253k-jobs-in-april-topping-expectations-for-180k/
59,/markets
60,/markets/2023/05/05/us-regulatory-crackdown-sees-institutional-investors-prefer-gold-to-bitcoin-jpmorgan/
61,/markets
62,/markets/2023/05/05/bitcoin-faces-downside-risks-on-head-and-shoulders-pattern-us-nonfarm-payrolls-eyed/
63,/markets
64,/markets/2023/05/05/ethereums-median-gas-price-surges-to-12-month-as-pepe-frenzy-grips-market/
65,/markets
66,/markets/2023/05/05/pepe-coin-shorters-lose-millions-as-pepe-jumps-to-900m-valuation/
67,/business
68,/business/2023/05/05/israel-has-seized-190-binance-accounts-with-alleged-terrorist-ties-since-2021-reuters/
69,/markets
70,/markets/2023/05/05/first-mover-asia-cbdcs-are-the-hottest-issue-in-florida-politics-bitcoin-falls-slightly/
71,/markets
72,/markets/2023/05/04/bitcoin-holds-near-29k-as-investors-weigh-rate-increases-banking-contagion/
73,/tech
74,/tech/2023/05/04/bitcoins-frenzy-of-activity-pushes-average-transaction-fee-over-7-nearly-2-year-high/
75,/business
76,/business/2023/05/04/blocks-q1-bitcoin-revenue-rises-18-from-q4-gains-25-from-a-year-ago/
77,/business
78,/business/2023/05/04/coinbase-shares-rise-as-q1-revenue-grows-23-from-q4-to-773m/
79,/videos
80,/video/bitcoin-remains-in-tight-range-ahead-of-april-jobs-report/
81,/videos
82,/video/the-story-behind-defunct-crypto-exchange-mt-gox/
83,/tv/all-about-bitcoin
84,/tv/all-about-bitcoin/the-legacy-of-mt-gox-bitcoins-dominance-rate-jumps-after-us-banking-crisis/
85,/consensus-magazine
86,/consensus-magazine/2023/05/04/the-reactionary-political-theater-of-cbdc-bans/
87,/sponsored-content
88,/sponsored-content/how-a-new-advancement-in-cold-storage-is-solving-the-dilemma-of-simplicity-and-security/
89,/podcasts/
90,/podcasts/markets-daily/crypto-update-us-turmoil-drives-crypto-momentum-bitcoins-dominance-market-decoupling-fed-rate-hike-and-sec-reevaluation/
91,/consensus-magazine
92,/consensus-magazine/2023/05/04/the-legacy-of-mt-gox-why-bitcoins-greatest-hack-still-matters/
93,/consensus-magazine
94,/consensus-magazine/2023/05/04/coindesk-turns-10-what-we-learned-from-reporting-a-decade-of-crypto-history/
95,/consensus-magazine
96,/consensus-magazine/2023/05/04/central-bank-digital-currencies-are-unexpectedly-becoming-a-presidential-election-issue/
97,/business
98,/business/2023/05/04/stronghold-digital-to-add-400-phs-capacity-via-4k-bitcoin-miners-from-canaan-subsidiary/
99,/podcasts/
100,/podcasts/coindesk-podcast-network/consensus-conversations-wendyo-unplugged-im-moving-to-bermuda/
101,/videos
102,/video/bitcoin-briefly-tops-dollar29k-following-fed-rate-hike/
103,/business
104,/business/2023/05/04/estate-and-legacy-planning-for-crypto-assets/
105,/markets
106,/markets/2023/05/04/first-mover-americas-bitcoin-ending-week-on-positive-note/
107,/markets
108,/markets/2023/05/04/funding-rates-in-the-500m-market-cap-pepe-token-remain-negative/
109,/markets
110,/markets/2023/05/04/bitcoins-dominance-rate-has-surged-amid-us-banking-crisis/
111,/markets
112,/markets/2023/05/04/bitcoin-could-rally-20-to-around-36k-matrixport/
113,/business
114,/business/2023/05/04/coinbase-to-stop-issuing-new-loans-via-coinbase-borrow/
115,/markets
116,/markets/2023/05/03/first-mover-asia-bitcoin-recovers-from-fed-dip/
117,/policy
118,/policy/2023/05/03/us-sec-changes-its-mind-on-officially-labeling-digital-assets/
119,/markets
120,/markets/2023/05/03/bitcoin-ether-decouple-from-stocks-whats-next-for-crypto-after-fed-rate-hike/
121,/markets
122,/markets/2023/05/03/pacwest-bancorp-plunge-sends-bitcoin-price-higher/
123,/markets
124,/markets/2023/05/03/bitcoin-falls-slightly-after-fed-rate-hike/
125,/videos
126,/video/bitcoin-hovers-around-dollar285k-after-fed-rate-decision/
127,/policy
128,/policy/2023/05/03/rfk-jr-raises-crypto-taxes-regulation-as-issues-in-opening-days-of-2024-presidential-race/
129,/business
130,/business/2023/05/03/coinbase-losses-expected-to-narrow-analysts-seek-details-about-international-exchange/
131,/learn/
132,/learn/crypto-philanthropy-101-what-donors-and-organizations-need-to-know/
133,/tv/all-about-bitcoin
134,/tv/all-about-bitcoin/upcoming-all-about-bitcoin-episode-6/
135,/consensus-magazine
136,/consensus-magazine/2023/05/03/in-the-stablecoin-olympics-bo-winner-will-take-it-all/
137,/consensus-magazine
138,/consensus-magazine/2023/05/03/cryptos-macro-drivers-its-not-just-about-bitcoin/
139,/business
140,/business/2023/05/03/federal-reserve-raises-fed-funds-rate-by-25-basis-points/
141,/podcasts/
142,/podcasts/markets-daily/crypto-update-developments-amid-turbulence-offshore-derivatives-mining-taxes-and-market-reactions-to-jobs-data/
143,/es/markets
144,/es/markets/2023/05/03/ordinals-de-bitcoin-alcanzo-las-3m-de-inscripciones-pero-la-mayoria-son-solo-texto/
145,/videos
146,/video/crypto-markets-outlook-ahead-of-us-fed-decision/
147,/es/markets
148,/es/markets/2023/05/03/bitcoin-y-ether-podrian-enfrentarse-a-un-estrangulamiento-de-posiciones-cortas/
149,/tv/first-mover
150,/tv/first-mover/upcoming-first-mover-episode-6/
151,/markets
152,/markets/2023/05/03/first-mover-americas-bitcoin-ending-week-on-positive-note/
153,/markets
154,/markets/2023/05/03/trueusds-borrowing-rates-jumped-to-100-as-tusd-soared-to-120-kaiko/
155,/markets
156,/markets/2023/05/03/bitcoin-ether-rally-at-risk-from-potential-short-squeeze-and-double-bottom-in-dollar-index-crypto-options-trading-firm/
157,/tech
158,/tech/2023/05/03/blockstream-developer-neigut-expects-cambrian-explosion-of-bitcoin-layer-2-protocols/
159,/tech
160,/tech/2023/05/03/bitcoin-ordinals-surge-to-3m-inscriptions-but-most-are-just-text/
161,/business
162,/business/2023/05/03/bitdeer-to-raise-500m-for-bhutan-crypto-mining-operations-in-deal-with-government/
163,/markets
164,/markets/2023/05/03/fed-preview-bitcoin-rally-may-run-into-a-hiccup-if-powell-sticks-to-data-dependent-policy-path-crypto-observers-say/
165,/markets
166,/markets/2023/05/03/first-mover-asia-bitcoins-kimchi-premium-has-narrowed-but-the-korean-market-is-proving-resilient/
167,/markets
168,/markets/2023/05/02/bitcoin-climbs-above-285k-as-investors-weigh-fresh-bank-woes-cool-jobs-data/
169,/business
170,/business/2023/05/02/balaji-closes-bitcoin-bet-with-15m-in-donations-including-500k-for-bitcoin-core-development/
171,/markets
172,/markets/2023/05/02/bitcoin-ether-rise-sharply-immediately-following-jolts-jobs-data/
173,/videos
174,/video/amboss-technologies-ceo-on-bitcoin-lightning-network-outlook/
175,/videos
176,/video/balaji-srinivasan-says-dollar1m-bitcoin-bet-is-closed-out-by-mutual-agreement/
177,/tv/all-about-bitcoin
178,/tv/all-about-bitcoin/bitcoin-jumps-back-above-285k-bitcoin-lightning-network-outlook/
179,/videos
180,/video/bitcoin-request-for-comment-tokens-skyrocket-to-dollar137m-in-market-value/
181,/consensus-magazine
182,/consensus-magazine/2023/05/02/coinbase-grew-quickly-by-working-with-us-regulators-will-it-expand-even-more-by-disregarding-the-sec/
183,/business
184,/business/2023/05/02/bitcoin-flash-rally-briefly-pushed-btc-derivatives-above-56k-on-bitfinex/
185,/videos
186,/video/bitcoin-dips-ahead-of-us-federal-reserve-decision-on-interest-rates/
187,/podcasts/
188,/podcasts/markets-daily/crypto-update-expanding-crypto-access-and-looming-us-debt-crisis/
189,/videos
190,/video/bitcoin-falls-toward-dollar28k-after-volatile-price-moves/
191,/business
192,/business/2023/05/02/coinbase-opens-offshore-crypto-derivatives-exchange/
193,/tv/first-mover
194,/tv/first-mover/upcoming-first-mover-episode-5/
195,/markets
196,/markets/2023/05/02/first-mover-americas-bitcoin-ending-week-on-positive-note/
197,/markets
