@relation 'BTC-all Standardization'

@attribute Date date yyyy-MM-dd
@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute 'Adj Close' numeric
@attribute Volume numeric
@attribute SMA_7 numeric
@attribute SMA_14 numeric
@attribute EMA_7 numeric
@attribute EMA_14 numeric
@attribute RSI numeric
@attribute Stoch_RSI numeric
@attribute Upper_BB numeric
@attribute Lower_BB numeric
@attribute MACD numeric

@data
2014-10-14,0.003188,0.002916,0.00332,0.003306,0.003306,0.000093,0.002581,0.002157,0.002497,0.0023,0.524163,0.991932,0.002664,0.002505,0.488283
2014-10-15,0.003326,0.002778,0.003281,0.003215,0.003215,0.000055,0.002672,0.002169,0.002566,0.002348,0.514017,0.965996,0.002619,0.00253,0.488529
2014-10-16,0.00323,0.002728,0.003044,0.003034,0.003034,0.00006,0.002711,0.002178,0.002571,0.002365,0.501092,0.932954,0.002569,0.002551,0.488636
2014-10-17,0.003056,0.002534,0.003079,0.003052,0.003052,0.000022,0.002759,0.002205,0.002579,0.002381,0.563976,1,0.002533,0.002566,0.488738
2014-10-18,0.003074,0.002675,0.003133,0.003166,0.003166,0.000016,0.002823,0.002275,0.002614,0.002412,0.744431,1,0.002559,0.00256,0.488883
2014-10-19,0.003182,0.002657,0.003246,0.003138,0.003138,0,0.002847,0.002352,0.002634,0.002434,0.788496,1,0.002582,0.002557,0.488987
2014-10-20,0.003152,0.002601,0.003122,0.003038,0.003038,0.00003,0.002831,0.002411,0.002622,0.002439,0.720995,0.896526,0.002575,0.002559,0.489021
2014-10-21,0.003051,0.002638,0.003161,0.003092,0.003092,0.000024,0.002799,0.002468,0.002628,0.002451,0.714713,0.864808,0.00258,0.002558,0.489079
2014-10-22,0.003105,0.002579,0.003183,0.003043,0.003043,0.000016,0.002774,0.002502,0.002619,0.002455,0.639352,0.680228,0.002591,0.002559,0.489102
2014-10-23,0.003059,0.002527,0.002793,0.002676,0.002676,0.000059,0.002721,0.002494,0.002517,0.002406,0.444989,0.249274,0.002591,0.002557,0.488931
2014-10-24,0.002697,0.002225,0.002746,0.002675,0.002675,0.000028,0.002665,0.002491,0.00244,0.002363,0.460683,0.258173,0.002562,0.002641,0.488801
2014-10-25,0.002697,0.00216,0.002588,0.00251,0.00251,0.000035,0.002569,0.002474,0.002339,0.002303,0.409077,0,0.002511,0.002747,0.488619
2014-10-26,0.002532,0.002151,0.002604,0.002621,0.002621,0.000015,0.002492,0.002447,0.002292,0.002267,0.360805,0,0.00247,0.002837,0.488542
2014-10-27,0.00264,0.002142,0.002693,0.002595,0.002595,0.00002,0.002427,0.002405,0.00225,0.002232,0.276143,0,0.002439,0.002901,0.488478
2014-10-28,0.002617,0.002162,0.002736,0.002664,0.002664,0.000006,0.002364,0.002357,0.002237,0.002211,0.230343,0,0.002435,0.002914,0.488473
2014-10-29,0.002675,0.00213,0.002474,0.002337,0.002337,0.000035,0.00226,0.00229,0.002142,0.002147,0.189204,0,0.002473,0.00282,0.488308
2014-10-30,0.002357,0.00203,0.00247,0.002481,0.002481,0.000069,0.002231,0.002249,0.002108,0.002112,0.291396,0.170521,0.002486,0.002777,0.488266
2014-10-31,0.002495,0.001988,0.002502,0.002378,0.002378,0.000019,0.002187,0.002198,0.002055,0.002067,0.262412,0.122158,0.002507,0.002711,0.488191
2014-11-01,0.002401,0.001878,0.002259,0.002191,0.002191,0.000031,0.00214,0.002124,0.001967,0.002001,0.179952,0,0.002532,0.002592,0.488048
2014-11-02,0.002214,0.001711,0.002252,0.002193,0.002193,0.000008,0.002077,0.002053,0.001902,0.001945,0.184767,0.0089,0.00252,0.002496,0.487952
2014-11-03,0.002207,0.001783,0.002325,0.002218,0.002218,0.00002,0.002022,0.001991,0.001859,0.0019,0.211458,0.058917,0.002461,0.002441,0.487904
2014-11-04,0.00223,0.00175,0.002319,0.002261,0.002261,0.000028,0.001962,0.001928,0.001839,0.001867,0.206437,0.057653,0.002401,0.002401,0.487906
2014-11-05,0.002283,0.00192,0.002404,0.002395,0.002395,0.00004,0.001971,0.001879,0.001858,0.001857,0.276257,0.343052,0.002358,0.002379,0.487994
2014-11-06,0.002413,0.002059,0.002521,0.00254,0.00254,0.000037,0.00198,0.001869,0.00191,0.001869,0.428397,0.884995,0.002306,0.002381,0.488153
2014-11-07,0.002567,0.002056,0.002572,0.002438,0.002438,0.000031,0.001989,0.001851,0.001923,0.001865,0.397893,0.877218,0.002221,0.002398,0.488238
2014-11-08,0.002453,0.001973,0.002577,0.002484,0.002484,0.000007,0.002032,0.001849,0.001945,0.001868,0.467001,1,0.002129,0.00243,0.48834
2014-11-09,0.002501,0.002215,0.002609,0.002748,0.002748,0.000052,0.002113,0.001859,0.00203,0.001907,0.517855,1,0.002074,0.002462,0.488569
2014-11-10,0.002751,0.002378,0.00281,0.002802,0.002802,0.00007,0.0022,0.001874,0.002108,0.001949,0.542632,1,0.002006,0.002509,0.488785
2014-11-11,0.002805,0.002327,0.002903,0.002813,0.002813,0.000028,0.002281,0.001886,0.002169,0.001988,0.526052,0.954283,0.001948,0.002551,0.488967
2014-11-12,0.002836,0.003179,0.002967,0.003642,0.003642,0.000114,0.002465,0.001984,0.002432,0.002137,0.805048,1,0.002237,0.002322,0.489545
2014-11-13,0.003716,0.003578,0.003468,0.0036,0.0036,0.000151,0.002621,0.002069,0.002618,0.002262,0.772702,0.948255,0.002431,0.0022,0.489973
2014-11-14,0.003585,0.003026,0.003221,0.00326,0.00326,0.000067,0.002742,0.002135,0.002668,0.002321,0.685303,0.808438,0.002518,0.002183,0.490124
2014-11-15,0.003306,0.002826,0.003013,0.002939,0.002939,0.000028,0.002809,0.002192,0.002622,0.002327,0.643189,0.739057,0.002545,0.002189,0.490066
2014-11-16,0.002936,0.002611,0.003067,0.003113,0.003113,0.000017,0.002863,0.002261,0.002633,0.002357,0.667632,0.770442,0.002593,0.002191,0.490103
2014-11-17,0.003139,0.002894,0.003111,0.003106,0.003106,0.000101,0.002908,0.002328,0.00264,0.002382,0.66234,0.761603,0.002635,0.002193,0.490119
2014-11-18,0.00313,0.002635,0.003015,0.002925,0.002925,0.000075,0.002924,0.002378,0.002597,0.002378,0.608109,0.627568,0.002653,0.002239,0.490028
2014-11-19,0.002924,0.002548,0.003057,0.003004,0.003004,0.000037,0.00283,0.002424,0.002586,0.002386,0.599915,0.496181,0.002679,0.002269,0.48999
2014-11-20,0.003019,0.002483,0.002798,0.002667,0.002667,0.000055,0.002693,0.002434,0.00249,0.002345,0.500441,0.251866,0.002677,0.002304,0.489778
2014-11-21,0.002686,0.002131,0.002607,0.002563,0.002563,0.000068,0.00259,0.002443,0.00239,0.002295,0.500099,0.097909,0.00266,0.002367,0.489552
2014-11-22,0.002593,0.002233,0.002709,0.002594,0.002594,0.000027,0.002539,0.002452,0.002324,0.002256,0.497411,0,0.002639,0.002438,0.489388
2014-11-23,0.002616,0.00232,0.002744,0.002812,0.002812,0.000026,0.002495,0.002457,0.002331,0.002253,0.488836,0,0.00262,0.002528,0.489373
2014-11-24,0.002821,0.002559,0.002948,0.00295,0.00295,0.000071,0.002472,0.002468,0.002372,0.00227,0.50419,0.048554,0.002605,0.002624,0.489432
2014-11-25,0.002968,0.002668,0.00307,0.002927,0.002927,0.000056,0.002472,0.002476,0.002397,0.002282,0.497656,0.027893,0.002596,0.002697,0.489465
2014-11-26,0.002956,0.00242,0.002935,0.002823,0.002823,0.000036,0.002446,0.002415,0.002389,0.002277,0.271386,0,0.00259,0.002736,0.489435
2014-11-27,0.002874,0.002366,0.002972,0.002843,0.002843,0.000008,0.002471,0.002357,0.002387,0.002275,0.284652,0.032051,0.002572,0.002803,0.489421
2014-11-28,0.002857,0.002495,0.002823,0.002943,0.002943,0.000049,0.002527,0.002333,0.002413,0.002288,0.385755,0.288632,0.002558,0.002873,0.489461
2014-11-29,0.002957,0.002565,0.00303,0.002929,0.002929,0.000027,0.002577,0.002333,0.002428,0.002298,0.473241,0.509419,0.002559,0.002892,0.489483
2014-11-30,0.002948,0.002491,0.003048,0.002967,0.002967,0.000009,0.0026,0.002322,0.00245,0.002311,0.421441,0.383816,0.002562,0.002908,0.489519
2014-12-01,0.002989,0.002507,0.003099,0.002985,0.002985,0.000017,0.002605,0.002312,0.00247,0.002325,0.431153,0.474477,0.002565,0.002923,0.489553
2014-12-02,0.003003,0.002513,0.003117,0.003016,0.003016,0.000018,0.002618,0.002319,0.002494,0.002341,0.514587,0.740273,0.002441,0.002997,0.489594
2014-12-03,0.00304,0.002498,0.003063,0.002922,0.002922,0.000021,0.002632,0.002313,0.002487,0.002343,0.442387,0.703126,0.002292,0.003095,0.489574
2014-12-04,0.002951,0.002434,0.002964,0.002842,0.002842,0.000025,0.002632,0.002326,0.002461,0.002332,0.567313,1,0.002231,0.003118,0.489514
2014-12-05,0.002858,0.002442,0.002934,0.002949,0.002949,0.000026,0.002633,0.002355,0.00247,0.002338,0.676478,1,0.002232,0.003118,0.48952
2014-12-06,0.002966,0.002431,0.003012,0.002919,0.002919,0.000003,0.002632,0.00238,0.002468,0.00234,0.644645,0.921417,0.002205,0.003128,0.489507
2014-12-07,0.002938,0.0024,0.003047,0.002923,0.002923,0.000002,0.002625,0.002388,0.002468,0.002341,0.549703,0.687045,0.002177,0.003139,0.489497
2014-12-08,0.00294,0.002396,0.002875,0.002728,0.002728,0.000037,0.002587,0.002372,0.002417,0.002315,0.340365,0.170279,0.002174,0.00312,0.489386
2014-12-09,0.002746,0.002207,0.00262,0.002584,0.002584,0.000077,0.002524,0.002346,0.002341,0.002272,0.292345,0.051738,0.002173,0.003074,0.489223
2014-12-10,0.002602,0.002051,0.002641,0.002497,0.002497,0.00003,0.002461,0.002321,0.002261,0.002222,0.298261,0.034732,0.002195,0.003028,0.489051
2014-12-11,0.002485,0.002182,0.002526,0.002558,0.002558,0.000076,0.002419,0.0023,0.002218,0.002188,0.327783,0.092256,0.002195,0.003027,0.488951
2014-12-12,0.002582,0.00206,0.002685,0.002589,0.002589,0.000032,0.002366,0.002273,0.002193,0.002163,0.277033,0,0.002196,0.003026,0.488893
2014-12-13,0.002605,0.002051,0.002644,0.002512,0.002512,0.000016,0.002306,0.002241,0.002154,0.00213,0.256591,0,0.002212,0.002972,0.488813
2014-12-14,0.002521,0.002065,0.002627,0.002575,0.002575,0.000019,0.002255,0.002212,0.002142,0.00211,0.274984,0.043805,0.002204,0.002939,0.488788
2014-12-15,0.00259,0.002043,0.002619,0.002482,0.002482,0.000032,0.002218,0.002174,0.002108,0.00208,0.235659,0,0.002204,0.002888,0.488727
2014-12-16,0.002505,0.001956,0.002349,0.00221,0.00221,0.000071,0.002163,0.002113,0.002012,0.002016,0.160307,0,0.002248,0.002766,0.488544
2014-12-17,0.002226,0.001782,0.002169,0.002102,0.002102,0.00009,0.002105,0.002051,0.001912,0.001945,0.158051,0,0.002291,0.002631,0.488354
2014-12-18,0.002121,0.001633,0.002005,0.001978,0.001978,0.000095,0.00202,0.001986,0.001804,0.001866,0.1515,0,0.002322,0.002484,0.488151
2014-12-19,0.001993,0.001557,0.002043,0.002074,0.002074,0.000051,0.001944,0.00192,0.001748,0.001811,0.144184,0,0.002319,0.002389,0.488055
2014-12-20,0.002089,0.001729,0.002183,0.002253,0.002253,0.000043,0.001906,0.00187,0.001753,0.001788,0.248568,0.257409,0.002282,0.00235,0.488088
2014-12-21,0.002266,0.001719,0.002226,0.002118,0.002118,0.000026,0.001838,0.001809,0.001722,0.00175,0.22229,0.398132,0.002243,0.002297,0.488057
2014-12-22,0.00214,0.001785,0.002249,0.002282,0.002282,0.000047,0.001809,0.001775,0.001741,0.00174,0.333089,1,0.002178,0.002289,0.488133
2014-12-23,0.002302,0.001816,0.002388,0.002322,0.002322,0.00003,0.001825,0.001755,0.001766,0.001736,0.386484,1,0.002122,0.002286,0.488227
2014-12-24,0.002338,0.001794,0.002263,0.002143,0.002143,0.000026,0.001831,0.001729,0.001738,0.001708,0.361815,0.898188,0.002079,0.002256,0.48822
2014-12-25,0.002158,0.001618,0.002197,0.002091,0.002091,0.000011,0.001848,0.001693,0.001703,0.001677,0.324055,0.742348,0.002006,0.002243,0.488199
2014-12-26,0.002111,0.001745,0.002192,0.002223,0.002223,0.00003,0.00187,0.001666,0.001711,0.001668,0.364452,0.909072,0.001921,0.002263,0.488265
2014-12-27,0.002237,0.001709,0.002131,0.002044,0.002044,0.000026,0.001839,0.00163,0.001671,0.001635,0.341144,0.812876,0.001825,0.002276,0.488236
2014-12-28,0.002067,0.001579,0.002108,0.002065,0.002065,0.000016,0.001831,0.001592,0.001646,0.00161,0.325213,0.747128,0.001763,0.002273,0.488235
2014-12-29,0.00209,0.001583,0.002127,0.001997,0.001997,0.000018,0.001789,0.001555,0.00161,0.001578,0.330675,0.769671,0.001729,0.002246,0.488212
2014-12-30,0.002016,0.001503,0.002082,0.001968,0.001968,0.000019,0.001737,0.001537,0.001575,0.001546,0.391912,1,0.001705,0.002212,0.488192
2014-12-31,0.001989,0.001582,0.002095,0.002109,0.002109,0.000023,0.001732,0.001538,0.001585,0.001539,0.478632,1,0.001657,0.002217,0.488262
2015-01-01,0.002131,0.001585,0.002152,0.00202,0.00202,0.000006,0.001722,0.001541,0.00157,0.00152,0.49134,1,0.001595,0.002226,0.488283
2015-01-02,0.002036,0.001518,0.002146,0.002032,0.002032,0.000006,0.001693,0.001538,0.001562,0.001505,0.461044,0.887397,0.001541,0.002234,0.488318
2015-01-03,0.002048,0.001508,0.001655,0.001528,0.001528,0.000077,0.001617,0.001483,0.001424,0.001421,0.25755,0.131056,0.001537,0.002119,0.488094
2015-01-04,0.001547,0.001101,0.0013,0.001278,0.001278,0.000142,0.001501,0.001419,0.001255,0.001313,0.238484,0,0.001588,0.00192,0.487802
2015-01-05,0.001309,0.000971,0.001413,0.00143,0.00143,0.000108,0.001418,0.001355,0.001169,0.001241,0.233792,0,0.001613,0.001802,0.48767
2015-01-06,0.00145,0.001106,0.001528,0.001604,0.001604,0.000049,0.001364,0.001301,0.001149,0.001203,0.285806,0.201957,0.001613,0.001744,0.487676
2015-01-07,0.001621,0.001269,0.001685,0.001725,0.001725,0.000054,0.001308,0.001269,0.001166,0.001187,0.362035,0.497938,0.001612,0.001717,0.487762
2015-01-08,0.00174,0.001202,0.001671,0.001562,0.001562,0.00004,0.00124,0.001229,0.001136,0.00115,0.339624,0.410922,0.00161,0.00166,0.487763
2015-01-09,0.001566,0.001158,0.001647,0.001667,0.001667,0.000036,0.001186,0.001187,0.001141,0.001133,0.330516,0.375558,0.001575,0.001634,0.487836
2015-01-10,0.001639,0.001114,0.001547,0.001435,0.001435,0.000027,0.001172,0.001141,0.001084,0.001086,0.320789,0.337788,0.001568,0.001564,0.487789
2015-01-11,0.00145,0.00099,0.001413,0.001299,0.001299,0.000035,0.001176,0.001083,0.001006,0.001026,0.29129,0.223252,0.001539,0.001485,0.487699
2015-01-12,0.001325,0.000882,0.001415,0.001331,0.001331,0.000037,0.001161,0.001033,0.000956,0.000978,0.312646,0.306173,0.001483,0.001437,0.487664
2015-01-13,0.001343,0.000825,0.000731,0.000709,0.000709,0.000191,0.001029,0.000938,0.000755,0.000849,0.233941,0.000579,0.001544,0.001201,0.487331
2015-01-14,0.000698,0.000177,0,0,0,0.000261,0.000775,0.000779,0.00042,0.000637,0.140384,0,0.001725,0.000749,0.486725
2015-01-15,0,0.000253,0.000081,0.000471,0.000471,0.000216,0.000614,0.000662,0.000292,0.00052,0.255211,0.358095,0.001708,0.000568,0.486524
2015-01-16,0.000478,0.000144,0.000427,0.000445,0.000445,0.000093,0.000434,0.000542,0.000189,0.000414,0.250725,0.497815,0.001694,0.000401,0.486385
2015-01-17,0.000459,0,0.000353,0.000314,0.000314,0.00005,0.000269,0.000451,0.000077,0.000305,0.28438,0.649651,0.001667,0.000232,0.486242
2015-01-18,0.000344,0.000102,0.000347,0.000478,0.000478,0.000069,0.000148,0.00039,0.000037,0.000233,0.346683,0.93074,0.00161,0.000124,0.48625
2015-01-19,0.000513,0.000073,0.000541,0.000545,0.000545,0.000036,0.000032,0.000323,0.000024,0.00018,0.32891,0.850552,0.001536,0.000049,0.486326
2015-01-20,0.000534,0.000051,0.000508,0.000493,0.000493,0.000052,0,0.00024,0,0.000127,0.283707,0.646618,0.001419,0,0.486393
2015-01-21,0.000512,0.000234,0.0006,0.000724,0.000724,0.000068,0.000107,0.000164,0.000043,0.000113,0.30895,0.817093,0.001293,0,0.486599
2015-01-22,0.000748,0.000369,0.00083,0.000821,0.000821,0.000079,0.000158,0.000108,0.0001,0.000115,0.349741,1,0.001145,0.000035,0.486841
2015-01-23,0.00084,0.000337,0.000811,0.000813,0.000813,0.000053,0.000212,0.000044,0.000141,0.000116,0.325732,0.885318,0.001083,0.000026,0.487056
2015-01-24,0.000828,0.000532,0.000884,0.001035,0.001035,0.000054,0.000319,0.000013,0.00023,0.000148,0.405655,1,0.001061,0.000023,0.487365
2015-01-25,0.001046,0.000632,0.001093,0.001122,0.001122,0.000079,0.000414,0,0.000319,0.000187,0.444594,1,0.001026,0.00003,0.487675
2015-01-26,0.001146,0.001424,0.001247,0.001415,0.001415,0.000287,0.000542,0.000006,0.000462,0.000263,0.490444,1,0.000994,0.000045,0.488089
2015-01-27,0.001429,0.00093,0.001195,0.001267,0.001267,0.00011,0.000656,0.000048,0.000531,0.000308,0.584952,1,0.000915,0.000086,0.488351
2015-01-28,0.001283,0.000799,0.000839,0.000828,0.000828,0.00011,0.000671,0.000111,0.000468,0.000285,0.655242,1,0.000827,0.000105,0.488338
2015-01-29,0.000838,0.000393,0.000743,0.000822,0.000822,0.000075,0.000672,0.000138,0.00042,0.000264,0.570183,0.789729,0.000703,0.000154,0.488337
2015-01-30,0.000829,0.000454,0.000821,0.000717,0.000717,0.000059,0.000657,0.000158,0.000356,0.000232,0.546245,0.70663,0.000615,0.000174,0.488292
2015-01-31,0.000735,0.000317,0.000677,0.000584,0.000584,0.00005,0.000591,0.000178,0.000273,0.000184,0.545711,0.705193,0.000545,0.000175,0.488199
2015-02-01,0.000593,0.000289,0.000612,0.000725,0.000725,0.000066,0.000532,0.000197,0.000248,0.000163,0.540465,0.691075,0.000462,0.000203,0.488213
2015-02-02,0.000736,0.000444,0.000773,0.000892,0.000892,0.00007,0.000455,0.000223,0.000272,0.000169,0.562144,0.749424,0.000475,0.000209,0.488323
2015-02-03,0.000899,0.000499,0.0008,0.00073,0.00073,0.000099,0.000376,0.000241,0.000249,0.00015,0.532101,0.644403,0.000418,0.000359,0.488337
2015-02-04,0.000751,0.000267,0.000749,0.000723,0.000723,0.000059,0.000361,0.000241,0.000229,0.000134,0.476345,0.457083,0.000415,0.000392,0.488355
2015-02-05,0.000754,0.000404,0.000653,0.000579,0.000579,0.000047,0.000325,0.000223,0.000177,0.000099,0.414864,0.2705,0.000408,0.000415,0.488305
2015-02-06,0.000594,0.000274,0.000675,0.000655,0.000655,0.000053,0.000316,0.000211,0.000157,0.000079,0.437656,0.128215,0.000383,0.000483,0.488317
2015-02-07,0.000679,0.000271,0.000772,0.000737,0.000737,0.000045,0.000338,0.000188,0.000164,0.000074,0.397745,0,0.000374,0.000523,0.488381
2015-02-08,0.000754,0.000258,0.000749,0.000672,0.000672,0.000032,0.00033,0.000154,0.000152,0.00006,0.356338,0,0.000369,0.000544,0.488408
2015-02-09,0.00069,0.000179,0.000687,0.000623,0.000623,0.000062,0.000291,0.000095,0.000131,0.000041,0.234938,0,0.00036,0.00057,0.488414
2015-02-10,0.000644,0.000147,0.000662,0.000619,0.000619,0.000043,0.000275,0.000046,0.000113,0.000024,0.260922,0.061823,0.000362,0.000555,0.488427
2015-02-11,0.000636,0.00017,0.000703,0.00061,0.00061,0.000032,0.000258,0.000029,0.000098,0.000008,0.376611,0.422594,0.000361,0.000532,0.488442
