@relation 'ETH-all Standardization'
@attribute Date date yyyy-MM-dd
@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute 'Adj Close' numeric
@attribute Volume numeric
@attribute SMA_7 numeric
@attribute SMA_14 numeric
@attribute EMA_7 numeric
@attribute EMA_14 numeric
@attribute RSI numeric
@attribute Stoch_RSI numeric
@attribute Upper_BB numeric
@attribute Lower_BB numeric
@attribute MACD numeric

@data
2017-12-06,0.080055,0.078514,0.072786,0.072821,0.072821,0.012567,0.080419,0.080748,0.079892,0.077974,0.586086,0,0.085372,0.063122,0.454633
2017-12-07,0.072388,0.07408,0.071535,0.074052,0.074052,0.014139,0.080025,0.081129,0.078886,0.077687,0.541447,0,0.084292,0.066857,0.450588
2017-12-08,0.074212,0.079212,0.073252,0.078625,0.078625,0.016615,0.079699,0.080832,0.079316,0.078093,0.43215,0,0.083606,0.070285,0.449242
2017-12-09,0.078942,0.087135,0.080562,0.082321,0.082321,0.012634,0.080011,0.080946,0.080595,0.07897,0.504981,0.150088,0.083059,0.073811,0.449599
2017-12-10,0.08221,0.080611,0.074794,0.075598,0.075598,0.005455,0.079262,0.08048,0.079814,0.078771,0.414835,0,0.081889,0.076996,0.446237
2017-12-11,0.075348,0.089803,0.076863,0.091127,0.091127,0.009852,0.080656,0.081027,0.083247,0.080805,0.550228,0.299191,0.081975,0.080645,0.450785
2017-12-12,0.092684,0.119004,0.09097,0.119955,0.119955,0.050654,0.08649,0.083839,0.093283,0.086655,0.716457,0.881059,0.092957,0.074369,0.467925
2017-12-13,0.118631,0.137869,0.111099,0.130814,0.130814,0.042809,0.094993,0.088174,0.103619,0.093253,0.836638,1,0.104638,0.067806,0.486026
2017-12-14,0.130415,0.138936,0.125595,0.129344,0.129344,0.034394,0.103099,0.092091,0.110991,0.098752,0.812425,0.942597,0.11296,0.063431,0.498696
2017-12-15,0.129522,0.127287,0.116118,0.126939,0.126939,0.02167,0.110183,0.095523,0.115898,0.10317,0.777606,0.860049,0.119244,0.061372,0.506514
2017-12-16,0.127368,0.131709,0.129003,0.129427,0.129427,0.014571,0.117089,0.099189,0.120221,0.107344,0.791017,0.891843,0.125199,0.059861,0.512814
2017-12-17,0.129493,0.135338,0.132336,0.134454,0.134454,0.014352,0.125718,0.103192,0.124765,0.111669,0.802773,0.919714,0.131456,0.058353,0.519083
2017-12-18,0.134888,0.149507,0.130825,0.150247,0.150247,0.027542,0.134386,0.108302,0.13226,0.117644,0.834485,0.994897,0.140526,0.055547,0.530475
2017-12-19,0.150159,0.165739,0.15156,0.157054,0.157054,0.037686,0.139825,0.114027,0.139642,0.123778,0.858022,1,0.14946,0.054779,0.541394
2017-12-20,0.157272,0.158065,0.145231,0.155417,0.155417,0.03617,0.143432,0.120178,0.144755,0.12886,0.906958,1,0.156703,0.055327,0.547727
2017-12-21,0.155732,0.165447,0.153145,0.155835,0.155835,0.031371,0.147316,0.126268,0.148699,0.133319,0.906003,0.998059,0.163058,0.056489,0.551389
2017-12-22,0.156241,0.15445,0.099441,0.124911,0.124911,0.048234,0.147018,0.129714,0.143653,0.132819,0.676174,0.531045,0.164103,0.06039,0.537726
2017-12-23,0.126336,0.141178,0.128775,0.134329,0.134329,0.018338,0.147737,0.133587,0.142306,0.133714,0.690888,0.560943,0.165776,0.064578,0.530199
2017-12-24,0.134896,0.132413,0.114794,0.128991,0.128991,0.016186,0.146936,0.137563,0.139915,0.133737,0.698484,0.415597,0.166479,0.069182,0.520412
2017-12-25,0.13005,0.145053,0.132904,0.144153,0.144153,0.018475,0.146043,0.141511,0.142045,0.135895,0.697592,0.092803,0.168274,0.074415,0.518904
