@relation SIRI-all
@attribute Date date yyyy-MM-dd
@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute 'Adj Close' numeric
@attribute Volume numeric
@attribute SMA_7 numeric
@attribute SMA_14 numeric
@attribute EMA_7 numeric
@attribute EMA_14 numeric
@attribute RSI numeric
@attribute Stoch_RSI numeric
@attribute Upper_BB numeric
@attribute Lower_BB numeric
@attribute MACD numeric

@data
1994-10-20,3.625,3.625,3.625,3.625,3.197361,900,3.244612,3.256425,3.246758,3.304232,35.714299,0.608295,3.768174,2.973847,-0.171166
1994-10-21,3.875,3.875,3.875,3.875,3.417869,2000,3.260363,3.256425,3.289546,3.319626,50,1,3.737662,2.982308,-0.148606
1994-10-24,3.875,4.125,3.875,4.125,3.638376,27300,3.323365,3.287926,3.376769,3.362715,64.285701,1,3.710884,2.998061,-0.111647
1994-10-25,4,4,4,4,3.528122,1200,3.370617,3.307614,3.414612,3.385033,58.620711,0.850192,3.710884,2.998061,-0.090213
1994-10-26,4.125,4.125,4.125,4.125,3.638376,100,3.433619,3.323365,3.470559,3.419163,57.142859,0.811111,3.710884,2.998061,-0.063596
1994-10-27,4.125,4.125,4.125,4.125,3.638376,12500,3.46512,3.354866,3.512516,3.448653,66.666673,1,3.710884,2.998061,-0.042018
1994-10-28,4.125,4.125,4.125,4.125,3.638376,1500,3.528122,3.386367,3.543983,3.474146,66.666673,1,3.710884,2.998061,-0.024634
1994-10-31,3.75,3.75,3.75,3.75,3.307615,400,3.543873,3.394242,3.484888,3.451793,53.333357,0.628572,3.704652,2.993267,-0.037118
1994-11-01,3.875,3.875,3.875,3.875,3.417869,2000,3.543873,3.402118,3.468133,3.447243,53.333317,0.628571,3.709509,3.010461,-0.037681
1994-11-02,4,4,3.75,3.75,3.307615,1300,3.496621,3.409993,3.428002,3.428532,53.333363,0.628572,3.709555,3.015928,-0.046488
1994-11-03,3.75,3.75,3.75,3.75,3.307615,3600,3.46512,3.417868,3.397905,3.412339,53.333363,0.569231,3.703858,3.0106,-0.052858
1994-11-04,3.75,3.75,3.75,3.75,3.307615,0,3.417869,3.425744,3.375332,3.398323,53.333363,0.569231,3.702096,3.023387,-0.057247
1994-11-07,4,4,3.75,3.75,3.307615,8000,3.370617,3.417868,3.358403,3.386189,46.15386,0.337278,3.699788,3.03672,-0.060033
1994-11-08,3.75,3.75,3.75,3.75,3.307615,4000,3.323365,3.425744,3.345706,3.375683,54.545499,0.608393,3.696896,3.050637,-0.061531
1994-11-09,3.625,3.625,3.625,3.625,3.197361,12000,3.307615,3.425744,3.308619,3.351848,50,0.187499,3.699788,3.03672,-0.070799
1994-11-10,3.875,3.875,3.625,3.625,3.197361,20100,3.276114,3.409993,3.280804,3.331206,39.99997,0,3.699788,3.03672,-0.077254
1994-11-11,3.625,3.625,3.625,3.625,3.197361,0,3.260363,3.378492,3.259943,3.313327,24.999905,0,3.699788,3.03672,-0.08143
1994-11-14,3.625,3.625,3.625,3.625,3.197361,0,3.244612,3.354866,3.244298,3.29784,28.571301,0.085713,3.699788,3.03672,-0.083775
1994-11-15,3.5,3.875,3.5,3.5,3.087107,31400,3.213111,3.31549,3.205,3.269703,14.285657,0,3.705108,2.998324,-0.093452
1994-11-16,3.875,3.875,3.5,3.5,3.087107,3800,3.18161,3.276114,3.175527,3.245328,14.285657,0,3.712922,2.979485,-0.099969
1994-11-17,3.5,3.625,3.5,3.625,3.197361,2000,3.16586,3.244613,3.180985,3.238926,24.999932,0.266128,3.712922,2.979485,-0.09514
1994-11-18,3.5,3.5,3.5,3.5,3.087107,9000,3.150109,3.228862,3.157516,3.218665,33.333261,0.473117,3.712265,2.947066,-0.099068
1994-11-21,3.5,3.5,3.5,3.5,3.087107,500,3.134359,3.205236,3.139914,3.20111,19.999965,0.141936,3.670214,2.93399,-0.101016
1994-11-22,3.375,3.375,2.75,2.75,2.425585,16300,3.024105,3.142234,2.961331,3.097637,9.999963,0,3.770138,2.723812,-0.154162
1994-11-23,2.5,2.75,2.5,2.75,2.425585,3600,2.913851,3.079232,2.827394,3.007977,9.999963,0,3.792969,2.579702,-0.194045
1994-11-25,2.5,2.5,2.125,2.5,2.205076,12500,2.787847,3.000479,2.671815,2.900869,8.333297,0,3.826056,2.403285,-0.24067
1994-11-28,2.5,2.625,2.375,2.375,2.094823,40500,2.646092,2.913851,2.527567,2.793349,7.692277,0,3.838877,2.236109,-0.283253
1994-11-29,2.75,2.875,2.5,2.5,2.205076,17200,2.504337,2.835098,2.446944,2.714883,14.285661,0.155844,3.854109,2.110623,-0.304592
1994-11-30,2.875,2.875,2.5,2.75,2.425585,7000,2.409834,2.779971,2.441604,2.676297,26.666668,0.587303,3.81304,2.052464,-0.300249
1994-12-01,2.875,2.875,2.5,2.5,2.205076,8500,2.283829,2.709094,2.382472,2.613449,23.529402,0.617649,3.796322,1.958928,-0.311016
1994-12-02,2.5,2.75,2.5,2.75,2.425585,5500,2.283829,2.653967,2.39325,2.588394,31.578963,0.931582,3.749989,1.917058,-0.298316
1994-12-05,2.375,2.375,2.25,2.25,1.984569,5900,2.220827,2.567339,2.29108,2.507867,26.086968,0.717394,3.729606,1.805136,-0.320148
1994-12-06,2.25,2.5,2.25,2.25,1.984569,4700,2.189326,2.488586,2.214452,2.438081,27.272734,0.763639,3.688655,1.713782,-0.333603
1994-12-07,2.25,2.25,2.25,2.25,1.984569,2600,2.173575,2.409834,2.156981,2.377603,27.272734,0.763639,3.628704,1.641429,-0.340344
1994-12-08,2.125,2.375,2,2,1.764061,4300,2.110573,2.307455,2.058751,2.295786,21.739156,0.547829,3.592402,1.5344,-0.359337
1994-12-09,2,2.25,1.875,1.875,1.653808,27400,2.000319,2.205076,1.957515,2.210178,21.739151,0.588063,3.546098,1.426349,-0.378918
1994-12-12,2.25,2.25,2,2.25,1.984569,4100,1.968818,2.126324,1.964279,2.180094,30.769239,0.966101,3.452407,1.398761,-0.363555
1994-12-13,2.125,2.125,1.875,1.875,1.653808,7000,1.858565,2.071197,1.886661,2.109916,34.782617,1,3.362943,1.333869,-0.373761
1994-12-14,1.875,1.875,1.625,1.6875,1.488426,8300,1.787687,2.004257,1.787102,2.027044,32.653069,0.921391,3.289844,1.247101,-0.390691
1994-12-15,1.625,1.875,1.625,1.75,1.543554,38200,1.724685,1.957005,1.726215,1.962574,36.956537,1,3.185109,1.19748,-0.395105
1994-12-16,1.8125,1.8125,1.6875,1.6875,1.488426,11600,1.653807,1.913691,1.666768,1.899351,37.777786,1,3.026632,1.185064,-0.398458
1994-12-19,1.8125,1.8125,1.6875,1.75,1.543554,18000,1.622306,1.86644,1.635964,1.851909,36.363658,0.91183,2.857294,1.200047,-0.392147
1994-12-20,1.8125,1.875,1.75,1.875,1.653808,21400,1.622306,1.811313,1.640425,1.825494,33.333342,0.722891,2.634298,1.279713,-0.373938
1994-12-21,1.8125,1.875,1.75,1.875,1.653808,20800,1.575055,1.771937,1.643771,1.802602,36.842125,0.941662,2.570785,1.266048,-0.35541
1994-12-22,1.875,1.90625,1.6875,1.6875,1.488426,32500,1.551429,1.704997,1.604935,1.76071,27.027024,0.329696,2.504893,1.238224,-0.350037
1994-12-23,1.875,2.125,1.875,2,1.764061,58200,1.590805,1.689246,1.644716,1.761157,44.117654,1,2.46439,1.234625,-0.31985
1994-12-27,1.875,1.875,1.75,1.875,1.653808,8400,1.606556,1.66562,1.646989,1.746843,41.666671,0.890476,2.436905,1.218009,-0.30135
1994-12-28,1.9375,2,1.875,1.875,1.653808,20500,1.630182,1.641995,1.648694,1.734438,41.666671,0.890476,2.386883,1.212905,-0.283421
1994-12-29,1.8125,2,1.75,1.875,1.653808,20100,1.645932,1.634119,1.649972,1.723687,46.874998,1,2.27156,1.25105,-0.266144
1994-12-30,2,2.046875,1.75,2.03125,1.791624,111200,1.66562,1.643963,1.685385,1.732746,53.84615,1,2.206781,1.274483,-0.238581
1995-01-03,2.125,2.125,1.875,2.125,1.874315,53500,1.697122,1.636088,1.732618,1.751622,46.428577,0.723422,2.05816,1.367978,-0.207671
1995-01-04,2.125,2.125,1.875,1.875,1.653808,27000,1.720747,1.636088,1.712915,1.73858,50,0.856589,2.017712,1.37535,-0.198678
1995-01-05,1.875,2.125,1.875,2,1.764061,28000,1.720747,1.655776,1.725702,1.741978,60.000003,1,1.979,1.392011,-0.180572
1995-01-06,2.125,4,2.125,4,3.528122,420300,1.988507,1.797531,2.176307,1.980132,82.142856,1,2.632751,0.892616,-0.023606
1995-01-09,4.375,5.375,4.125,4.875,4.299899,88200,2.36652,1.998351,2.707205,2.289437,86.956516,1,3.319364,0.459586,0.161208
1995-01-10,4.875,4.875,4.125,4.375,3.858885,165900,2.681531,2.163731,2.995125,2.498698,77.631592,0.844402,3.672526,0.326932,0.268988
1995-01-11,4.5,4.625,3.875,4.25,3.74863,120900,2.961103,2.313362,3.183501,2.665357,75.000008,0.80049,3.93438,0.241484,0.34157
1995-01-12,4.25,5.125,4.125,4.1875,3.693504,325700,3.220987,2.459054,3.311002,2.802444,74.025973,0.784237,4.156795,0.223039,0.390146
1995-01-13,4.4375,4.5625,4,4.1875,3.693504,86800,3.512372,2.61656,3.406627,2.921252,77.027029,0.780757,4.347066,0.253275,0.423758
1995-01-16,4.5,4.5,3.875,3.875,3.417869,19800,3.74863,2.734689,3.409437,2.987468,70.270266,0.631568,4.466392,0.32138,0.423276
1995-01-17,3.9375,4.125,3.375,3.625,3.197361,49000,3.701378,2.844942,3.356418,3.015454,68.42105,0.590737,4.535506,0.42316,0.400483
1995-01-18,3.125,3.125,3.125,3.125,2.756346,9000,3.480871,2.923695,3.2064,2.980906,61.904762,0.381865,4.550983,0.528962,0.342881
1995-01-19,3.125,3.6875,3.125,3.375,2.976853,16400,3.354866,3.018198,3.149013,2.980365,63.636366,0.424591,4.581118,0.631132,0.311435
1995-01-20,3.625,3.75,3.4375,3.75,3.307615,12200,3.291864,3.126483,3.188664,3.023999,65.027327,0.458912,4.634188,0.743442,0.309633
1995-01-23,3.5625,3.8125,3.5,3.75,3.307615,15600,3.236737,3.228862,3.218402,3.061814,64.444448,0.39085,4.657779,0.90177,0.304694
1995-01-24,3.5,3.5625,3.0625,3.25,2.866599,26700,3.118608,3.31549,3.130451,3.035786,61.702126,0.063143,4.651078,1.018725,0.26217
1995-01-25,3.375,3.4375,3.125,3.4375,3.03198,9700,3.063481,3.406056,3.105833,3.035278,62.105259,0.015963,4.633839,1.173781,0.239059
1995-01-26,3.5,3.5,3.375,3.375,2.976853,2600,3.03198,3.366679,3.073588,3.027488,42.187491,0,4.596845,1.343079,0.213831
1995-01-27,3.5625,3.5625,3.375,3.5625,3.142234,4900,3.087107,3.283989,3.09075,3.042788,30.188687,0,4.549372,1.539396,0.204821
1995-01-30,3.5625,3.625,3.25,3.4375,3.03198,48200,3.094982,3.224924,3.076057,3.041347,34.042544,0.08228,4.491474,1.721329,0.186632
1995-01-31,3.5,3.625,3.4375,3.625,3.197361,15500,3.079232,3.185548,3.106383,3.062149,39.583325,0.200576,4.430391,1.914716,0.183448
1995-02-01,3.75,3.875,3.5,3.625,3.197361,36300,3.063481,3.150109,3.129127,3.080177,40.42553,0.218557,4.284916,2.214547,0.178862
1995-02-02,3.625,3.625,3.625,3.625,3.197361,0,3.110733,3.11467,3.146186,3.095801,40.42553,0.2554,4.086826,2.555967,0.173231
1995-02-03,3.5,3.625,3.5,3.625,3.197361,5800,3.134358,3.09892,3.158979,3.109343,45.238096,0.39363,4.065761,2.543955,0.166845
1995-02-06,3.8125,4.125,3.5,4.0625,3.583249,98000,3.220986,3.126483,3.265047,3.17253,57.777784,0.791911,3.886634,2.651418,0.190724
1995-02-07,4.0625,4.4375,4,4.25,3.74863,111400,3.307614,3.197361,3.385943,3.249344,72.499996,1,3.860579,2.666447,0.220452
