@relation USDT-all
@attribute Date date yyyy-MM-dd
@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute 'Adj Close' numeric
@attribute Volume numeric
@attribute SMA_7 numeric
@attribute SMA_14 numeric
@attribute EMA_7 numeric
@attribute EMA_14 numeric
@attribute RSI numeric
@attribute Stoch_RSI numeric
@attribute Upper_BB numeric
@attribute Lower_BB numeric
@attribute MACD numeric

@data
2017-12-06,0.99976,1.02004,0.99584,1.00991,1.00991,1281490048,1.004821,1.002631,1.004245,1.003351,56.054764,0.996671,1.011834,0.992275,-0.000188
2017-12-07,1.00707,1.07695,1.00107,1.03166,1.03166,1671609984,1.008186,1.005276,1.0111,1.007186,69.120829,1,1.020013,0.987123,0.002069
2017-12-08,1.03633,1.05766,0.986563,1.0176,1.0176,1993030016,1.009303,1.006366,1.012726,1.008594,57.39904,0.627331,1.021913,0.986751,0.002693
2017-12-09,1.02058,1.04726,0.99356,1.01713,1.01713,1598909952,1.0118,1.007204,1.013827,1.009746,55.826247,0.577328,1.023521,0.986613,0.003114
2017-12-10,1.02206,1.04466,0.971536,1.01775,1.01775,1649500032,1.014241,1.007851,1.014808,1.010824,54.630886,0.539324,1.025086,0.986631,0.003457
2017-12-11,1.01272,1.02963,0.99995,1.01856,1.01856,1542119936,1.016369,1.009085,1.015746,1.011865,59.452719,0.692624,1.026428,0.987541,0.003751
2017-12-12,1.01882,1.08167,1.00087,1.07788,1.07788,2240839936,1.027213,1.014638,1.03128,1.020735,75.996581,1,1.047786,0.973955,0.008671
2017-12-13,1.08095,1.088,1.01946,1.02716,1.02716,2198139904,1.029677,1.017249,1.03025,1.021598,59.58388,0.407669,1.049266,0.975728,0.008381
2017-12-14,1.02672,1.05142,1.00669,1.00819,1.00819,2336179968,1.026324,1.017255,1.024735,1.019799,50.023416,0.062634,1.049311,0.976269,0.006545
2017-12-15,1.00982,1.01873,0.995525,1.0161,1.0161,2044499968,1.02611,1.017707,1.022576,1.019304,51.592647,0.119267,1.049703,0.976946,0.005663
2017-12-16,1.01736,1.01937,1.00182,1.00742,1.00742,1592729984,1.024723,1.018261,1.018787,1.017712,51.971394,0.11448,1.049678,0.976845,0.004215
2017-12-17,1.01174,1.0164,1.00286,1.00924,1.00924,1931020032,1.023507,1.018874,1.0164,1.016578,52.169099,0.082612,1.049697,0.977621,0.003177
2017-12-18,1.01052,1.0183,0.99574,1.01302,1.01302,2517230080,1.022716,1.019542,1.015555,1.016102,52.354586,0.089753,1.04978,0.978826,0.00263
2017-12-19,1.01313,1.03397,0.996768,1.01068,1.01068,3073860096,1.013116,1.020164,1.014336,1.015377,52.18633,0.083275,1.049054,0.981559,0.001984
2017-12-20,1.00841,1.01919,0.989079,1.00018,1.00018,3751790080,1.009261,1.019469,1.010797,1.013346,47.588606,0,1.049196,0.980625,0.000618
2017-12-21,1.00231,1.04041,0.993811,1.00921,1.00921,3106720000,1.009407,1.017866,1.0104,1.012793,44.061802,0,1.049187,0.980578,0.000261
2017-12-22,1.00635,1.05909,0.963089,1.01795,1.01795,4687949824,1.009671,1.017891,1.012288,1.013482,50.095258,0.188931,1.049359,0.982235,0.000676
2017-12-23,1.01239,1.052,1.00726,1.04526,1.04526,2353740032,1.015077,1.0199,1.020531,1.017726,56.680102,0.395127,1.053241,0.982813,0.003172
2017-12-24,1.05071,1.06922,1.02183,1.02303,1.02303,2611589888,1.017047,1.020277,1.021156,1.018434,51.13715,0.221556,1.053606,0.984384,0.003317
2017-12-25,1.02648,1.03172,1.00894,1.01113,1.01113,1708380032,1.016777,1.019746,1.018649,1.017459,48.47275,0.138124,1.053351,0.985555,0.002445
2017-12-26,1.01049,1.01732,0.99858,1.00407,1.00407,1854780032,1.015833,1.014474,1.015004,1.015672,30.677013,0,1.053502,0.98482,0.00117
2017-12-27,1.00469,1.01484,0.996458,1.00366,1.00366,1939949952,1.01633,1.012796,1.012168,1.014069,41.647692,0.421899,1.05224,0.983282,0.000125
2017-12-28,1.00331,1.03306,1.00055,1.00659,1.00659,2211409920,1.015956,1.012681,1.010774,1.013071,49.358142,0.71842,1.05205,0.982371,-0.000462
2017-12-29,1.01095,1.01519,1.00088,1.00564,1.00564,1929090048,1.014197,1.011934,1.00949,1.01208,45.555744,0.572191,1.051858,0.981414,-0.000991
2017-12-30,1.00772,1.03478,0.992842,1.02135,1.02135,2711059968,1.010781,1.012929,1.012455,1.013316,55.584986,0.957885,1.052098,0.981534,-0.000142
2017-12-31,1.02431,1.02431,1.00027,1.01226,1.01226,1927010048,1.009243,1.013145,1.012406,1.013175,51.144085,0.787102,1.05183,0.981172,-0.0002
2018-01-01,1.01255,1.01536,1.00153,1.00728,1.00728,1685299968,1.008693,1.012735,1.011125,1.012389,47.845005,0.660229,1.033476,0.992466,-0.000641
2018-01-02,1.00574,1.00988,0.99325,1.0049,1.0049,2635859968,1.008811,1.012322,1.009569,1.01139,47.830662,0.659677,1.031519,0.992197,-0.001168
2018-01-03,1.0066,1.02328,1.00264,1.01344,1.01344,2471689984,1.010209,1.013269,1.010536,1.011664,55.051045,0.937351,1.031716,0.992525,-0.000887
2018-01-04,1.0132,1.01618,0.993822,1.00253,1.00253,3200130048,1.009629,1.012792,1.008535,1.010445,47.49136,0.646629,1.031393,0.991491,-0.001527
2018-01-05,1.00175,1.00501,0.985915,0.998634,0.998634,3096620032,1.008628,1.011412,1.00606,1.00887,42.472067,0.453602,1.0317,0.990305,-0.002322
2018-01-06,1.00028,1.01209,0.996847,1.00899,1.00899,2620080128,1.006862,1.008822,1.006792,1.008886,33.712417,0.121865,1.031692,0.990288,-0.002092
2018-01-07,1.00727,1.01572,0.998208,1.00157,1.00157,2338180096,1.005335,1.007289,1.005487,1.00791,38.884526,0.329513,1.031513,0.989322,-0.00248
2018-01-08,1.00514,1.04236,0.997617,1.00932,1.00932,3815749888,1.005626,1.00716,1.006445,1.008098,49.0204,0.736446,1.03145,0.989249,-0.002137
2018-01-09,1.00858,1.0143,1.00066,1.00599,1.00599,2766180096,1.005782,1.007297,1.006331,1.007817,51.082873,0.794166,1.031307,0.989974,-0.00211
2018-01-10,1.00515,1.01382,0.996446,1.00128,1.00128,3189860096,1.004045,1.007127,1.005068,1.006946,48.719767,0.686127,1.031326,0.989162,-0.002441
2018-01-11,0.999976,1.02352,0.990198,1.00171,1.00171,3841110016,1.003928,1.006778,1.004229,1.006247,47.302476,0.621329,1.030515,0.988348,-0.002637
2018-01-12,1.00625,1.0191,0.997711,1.00608,1.00608,2668219904,1.004991,1.00681,1.004692,1.006225,50.234361,0.755373,1.02014,0.994805,-0.002413
2018-01-13,1.00413,1.01256,0.996576,1.00202,1.00202,2759879936,1.003996,1.005429,1.004024,1.005664,38.245289,0.212426,1.016964,0.99588,-0.002533
