Date,Open,High,Low,Close,Volume,Close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1659312000000,23296.36000000,23394.97000000,23257.37000000,23374.96000000,5110.59195000,1659315599999,119208972.79285610,184426,2652.53834000,61875576.42013090,0
1659315600000,23376.65000000,23443.38000000,23323.52000000,23418.80000000,3835.70981000,1659319199999,89739133.95724250,156253,1929.95992000,45155901.04904750,0
1659319200000,23418.80000000,23466.55000000,23371.23000000,23420.08000000,3510.57616000,1659322799999,82221614.54656850,143965,1741.44104000,40787111.36056480,0
1659322800000,23420.08000000,23436.83000000,23313.38000000,23375.62000000,3051.23770000,1659326399999,71281115.67906460,135771,1482.54058000,34634911.67919640,0
1659326400000,23376.59000000,23417.76000000,23344.65000000,23392.40000000,3465.72905000,1659329999999,81047517.91453090,131321,1684.84243000,39402186.88927620,0
1659330000000,23390.90000000,23425.00000000,23273.06000000,23327.47000000,3863.33910000,1659333599999,90196007.19129660,150555,1888.75529000,44098106.53856690,0
1659333600000,23329.99000000,23346.42000000,23150.00000000,23223.77000000,5533.32447000,1659337199999,128554065.41116390,193151,2695.04058000,62611258.60999180,0
1659337200000,23223.77000000,23347.96000000,23112.00000000,23322.05000000,6019.41952000,1659340799999,139790341.15528870,203823,3047.20828000,70777873.28071750,0
1659340800000,23323.26000000,23379.00000000,23271.22000000,23287.76000000,4974.95267000,1659344399999,116040275.98108610,181629,2483.81133000,57936493.46931030,0
1659344400000,23287.76000000,23377.64000000,23260.50000000,23311.76000000,4170.22790000,1659347999999,97285562.06328730,166563,2027.58489000,47303965.69368520,0
1659348000000,23311.76000000,23319.84000000,22974.68000000,23037.35000000,8472.47166000,1659351599999,196006731.92878870,259473,3810.29171000,88154766.59896140,0
1659351600000,23037.35000000,23294.40000000,22939.57000000,23227.79000000,7965.41797000,1659355199999,184162782.57433630,268697,4063.17856000,93965040.20798230,0
1659355200000,23227.79000000,23318.15000000,23120.00000000,23140.09000000,6089.25018000,1659358799999,141245902.22318580,224506,2987.14926000,69292777.40648450,0
1659358800000,23140.09000000,23325.22000000,22961.60000000,23244.83000000,10724.83434000,1659362399999,247875065.49068630,339290,5358.71573000,123880667.20758430,0
1659362400000,23242.59000000,23509.68000000,23209.60000000,23437.41000000,12553.21721000,1659365999999,293624363.87954480,376324,6630.04558000,155091548.36389690,0
1659366000000,23437.41000000,23467.58000000,23280.23000000,23326.73000000,6303.50388000,1659369599999,147203726.34358100,217869,3089.37431000,72146407.40183060,0
1659369600000,23325.19000000,23355.00000000,23137.34000000,23198.94000000,7588.78912000,1659373199999,176280755.50070900,231671,3495.76598000,81203810.04671330,0
1659373200000,23198.94000000,23211.95000000,22876.74000000,22963.69000000,9230.29310000,1659376799999,212386484.93221020,251746,4324.11453000,99506453.51246260,0
1659376800000,22963.75000000,22996.82000000,22850.00000000,22953.36000000,6159.31354000,1659380399999,141193429.56716760,178037,3042.82895000,69758398.71344330,0
1659380400000,22953.39000000,23040.94000000,22872.27000000,22953.59000000,5353.52798000,1659383999999,122904815.54665910,159968,2633.10102000,60456159.31448920,0
1659384000000,22955.37000000,23131.61000000,22915.84000000,23118.88000000,4668.42952000,1659387599999,107373761.64728740,139078,2398.06359000,55157790.51072190,0
1659387600000,23115.91000000,23132.37000000,22981.80000000,23019.09000000,2774.40240000,1659391199999,63953856.03412790,103912,1367.82143000,31532350.36401820,0
1659391200000,23019.09000000,23195.00000000,22908.45000000,23164.79000000,5491.07472000,1659394799999,126561893.49663160,171242,2787.93995000,64264360.09348190,0
1659394800000,23166.10000000,23417.11000000,23164.59000000,23268.01000000,7300.52824000,1659398399999,170233713.79482100,205943,3836.28255000,89452353.49283870,0
1659398400000,23266.90000000,23447.62000000,23160.02000000,23187.65000000,6217.40017000,1659401999999,144743093.99320260,209914,3063.09720000,71323710.52493010,0
1659402000000,23187.65000000,23245.00000000,22944.00000000,22997.14000000,5332.19631000,1659405599999,123099264.09587600,190925,2471.01766000,57064837.84436820,0
1659405600000,22997.14000000,23080.37000000,22824.77000000,22912.95000000,6362.84295000,1659409199999,145959800.74404610,210472,3049.25511000,69952561.48199500,0
1659409200000,22912.95000000,22922.29000000,22780.00000000,22853.11000000,5949.36117000,1659412799999,135950757.83226840,211925,2757.16274000,63009212.77758540,0
1659412800000,22851.34000000,22900.93000000,22750.00000000,22862.28000000,5073.96401000,1659416399999,115849136.04574180,184834,2426.21841000,55399963.81983480,0
1659416400000,22860.83000000,22909.00000000,22834.56000000,22852.71000000,3872.99055000,1659419999999,88594638.83867320,151448,1950.35846000,44615789.54255260,0
1659420000000,22852.71000000,22937.50000000,22850.50000000,22874.63000000,3754.29164000,1659423599999,85959568.55169320,156064,1925.36478000,44085946.22428410,0
1659423600000,22873.35000000,22920.00000000,22715.61000000,22887.80000000,6855.66267000,1659427199999,156442361.58248610,220013,3276.58180000,74774459.51672860,0
1659427200000,22889.62000000,22910.34000000,22783.00000000,22809.74000000,4915.01711000,1659430799999,112252137.62473140,179044,2444.18215000,55826473.02232480,0
1659430800000,22809.74000000,22845.00000000,22654.37000000,22711.08000000,6028.10289000,1659434399999,137026047.88457660,207097,2832.29690000,64385892.98435850,0
