@relation 'BNB-USD Indicators'
@attribute Date date yyyy-MM-dd
@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute 'Adj Close' numeric
@attribute Volume numeric
@attribute SMA_7 numeric
@attribute SMA_14 numeric
@attribute EMA_7 numeric
@attribute EMA_14 numeric
@attribute RSI numeric
@attribute Stoch_RSI numeric
@attribute Upper_BB numeric
@attribute Lower_BB numeric
@attribute MACD numeric

@data
2017-12-06,2.58043,2.77881,2.34588,2.58769,2.58769,41731500,2.293326,2.047022,2.335787,2.142368,81.652661,0.983142,2.596363,1.23034,0.17661
2017-12-07,2.5494,2.91443,2.48943,2.77995,2.77995,28297900,2.40518,2.134969,2.446854,2.228741,86.845024,1,2.734097,1.219565,0.211211
2017-12-08,2.7661,2.86899,2.25957,2.83067,2.83067,38648500,2.513814,2.214466,2.542825,2.31011,85.842744,0.965468,2.867471,1.201825,0.239959
2017-12-09,2.82602,2.86734,2.33035,2.61043,2.61043,27217000,2.588996,2.267077,2.559729,2.350632,72.780582,0.480066,2.930437,1.238525,0.242178
2017-12-10,2.66134,2.69544,2.2117,2.48337,2.48337,19258500,2.625584,2.312094,2.540637,2.368514,68.289459,0.314038,2.962184,1.29267,0.231021
2017-12-11,2.51302,2.82448,2.50335,2.70665,2.70665,19427000,2.656294,2.366642,2.582143,2.414004,70.568686,0.398296,3.014407,1.353706,0.237459
2017-12-12,2.72645,2.7783,2.61343,2.68475,2.68475,24523200,2.669073,2.421474,2.607797,2.450384,70.719931,0.403887,3.05084,1.424573,0.23805
2017-12-13,2.68708,2.87505,2.57144,2.7781,2.7781,28429500,2.696274,2.4948,2.650374,2.494373,78.833163,0.619394,3.078158,1.520195,0.243247
2017-12-14,2.77344,3.15874,2.77266,3.15874,3.15874,40335300,2.750387,2.577784,2.77747,2.583471,80.327249,0.665957,3.189348,1.553108,0.274911
2017-12-15,3.1567,4.41125,3.14282,3.99615,3.99615,52745900,2.916884,2.715349,3.082147,2.772778,85.937516,0.953489,3.538332,1.416352,0.363388
2017-12-16,4.16847,4.72541,3.9184,4.66465,4.66465,54002400,3.210344,2.89967,3.47778,3.02613,88.698337,1,4.020661,1.215175,0.481894
