@relation BTC-Indicators

@attribute index numeric
@attribute Date date yyyy/MM/dd
@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute 'Adj Close' numeric
@attribute Volume numeric
@attribute SMA_7 numeric
@attribute SMA_14 numeric
@attribute EMA_7 numeric
@attribute EMA_14 numeric
@attribute RSI numeric
@attribute Stoch_RSI numeric
@attribute Upper_BB numeric
@attribute Lower_BB numeric
@attribute MACD numeric

@data
27,2014/10/28,353.214996,359.984009,352.678986,357.618011,357.618011,7845880,358.928859,373.1355,360.189252,365.64048,26.59727,0,407.000618,341.261085,-4.591695
28,2014/10/29,357.088989,357.833008,335.342987,335.591003,335.591003,18192700,352.133575,368.908214,354.038225,361.569705,22.686407,0,409.625952,335.692252,-6.585445
29,2014/10/30,335.709015,350.912994,335.071991,345.304993,345.304993,30177900,350.260433,366.247428,351.854527,359.371035,32.401375,0.170521,410.516219,333.176283,-7.297547
30,2014/10/31,345.009003,348.045013,337.141998,338.321014,338.321014,12545400,347.399863,363.001929,348.470696,356.530731,29.646025,0.122158,411.960112,329.33459,-8.329426
31,2014/11/1,338.649994,340.528992,321.054993,325.748993,325.748993,16677200,344.325291,358.309572,342.789699,352.383942,21.806794,0,413.709058,322.305642,-10.045852
32,2014/11/2,326.075012,329.049988,320.626007,325.891998,325.891998,8603620,340.209289,353.762859,338.564956,348.819983,22.264543,0.0089,412.870114,316.692386,-11.264739
33,2014/11/3,325.569,334.002014,325.480988,327.553986,327.553986,12948500,336.575714,349.8135,335.812058,345.96249,24.80198,0.058917,408.797001,313.433898,-11.958755
34,2014/11/4,327.161011,331.766998,325.076996,330.492004,330.492004,15655500,332.70057,345.814715,334.481988,343.885885,24.324677,0.057653,404.687882,311.114917,-12.131845
35,2014/11/5,330.683014,343.368988,330.683014,339.485992,339.485992,19817200,333.256997,342.695286,335.733029,343.295816,30.962179,0.343052,401.713922,309.781876,-11.411733
36,2014/11/6,339.458008,352.966003,338.424011,349.290009,349.290009,18797000,333.826285,342.043359,339.122355,344.099073,45.425576,0.884995,398.115063,309.933936,-9.935408
37,2014/11/7,349.817993,352.731995,341.776001,342.415009,342.415009,16834200,334.411142,340.905502,339.945533,343.87355,42.525624,0.877218,392.221641,310.92466,-9.213953
38,2014/11/8,342.153992,347.032013,342.153992,345.488007,345.488007,8535470,337.231001,340.778146,341.33117,344.089625,49.095508,1,385.922913,312.817589,-8.298568
39,2014/11/9,345.376007,363.626007,344.255005,363.264008,363.264008,24205600,342.569859,341.389574,346.814435,346.654588,53.929994,1,382.107567,314.674837,-6.068786
40,2014/11/10,362.265015,374.81601,357.561005,366.924011,366.924011,30450100,348.194149,342.384931,351.841867,349.364851,56.285462,1,377.409248,317.418056,-3.960681
41,2014/11/11,365.856995,371.309998,363.734985,367.695007,367.695007,15838900,353.508863,343.104717,355.805174,351.814883,54.709184,0.954283,373.376898,319.904108,-2.202391
42,2014/11/12,367.984985,429.717987,367.984985,423.561005,423.561005,45783200,365.519579,349.388288,372.744204,361.401417,81.232249,1,393.332727,306.46268,3.656831
43,2014/11/13,427.27301,457.092987,401.122986,420.734985,420.734985,58945000,375.726005,354.776145,384.741937,369.327165,78.15728,0.948255,406.7481,299.286305,7.980279
44,2014/11/14,418.416992,419.252014,384.789001,397.817993,397.817993,29589200,383.640717,359.025929,388.010959,373.132019,69.848596,0.808438,412.778397,298.310709,9.448517
45,2014/11/15,399.649994,405.528015,371.007996,376.132996,376.132996,15727500,388.018572,362.624786,385.041463,373.532704,65.845021,0.739057,414.581243,298.650761,8.761313
46,2014/11/16,374.730011,390.799011,374.60199,387.881989,387.881989,11905600,391.535427,367.052643,385.751595,375.44824,68.168652,0.770442,417.94409,298.777211,9.060303
47,2014/11/17,388.348999,410.199005,377.502014,387.40799,387.40799,41518800,394.461709,371.327929,386.165694,377.044533,67.665635,0.761603,420.828504,298.871795,9.153491
48,2014/11/18,387.785004,392.402008,371.117004,375.197998,375.197998,32222500,395.533565,374.521214,383.423768,376.798106,62.510073,0.627568,422.059577,301.601422,8.148171
49,2014/11/19,373.895996,386.480988,373.895996,380.554993,380.554993,18931800,389.389849,377.454714,382.706574,377.299416,61.731118,0.496181,423.848961,303.337037,7.69501
50,2014/11/20,380.307007,382.024994,356.781006,357.839996,357.839996,25233200,380.404851,378.065428,376.489927,374.703069,52.274489,0.251866,423.723668,305.414229,5.440254
51,2014/11/21,357.878998,357.878998,344.112,350.847992,350.847992,29850100,373.694851,378.667784,370.079441,371.520526,52.241968,0.097908,422.525076,309.122721,3.053944
52,2014/11/22,351.604004,364.841003,350.877991,352.920013,352.920013,15273000,370.37871,379.198641,365.789583,369.039196,51.986424,0,421.08905,313.261548,1.314814
53,2014/11/23,353.174988,370.845001,353.174988,367.572998,367.572998,15151600,367.477426,379.506426,366.235437,368.843617,51.171259,0,419.766499,318.586001,1.106163
54,2014/11/24,366.947998,387.209015,366.669006,376.901001,376.901001,30930100,365.976427,380.219068,368.901828,369.918345,52.630855,0.048554,418.764212,324.229187,1.674199
55,2014/11/25,376.885986,394.700989,374.783997,375.347992,375.347992,25442200,365.997855,380.76571,370.513369,370.642538,52.009744,0.027893,418.101399,328.478201,1.976275
56,2014/11/26,376.019012,377.697998,365.81601,368.369995,368.369995,18601700,364.257141,376.823495,369.977526,370.339445,30.499117,0,417.695864,330.791734,1.633774
57,2014/11/27,370.502014,373.992004,368.282013,369.670013,369.670013,8748030,365.947143,373.175997,369.900648,370.250165,31.760295,0.032051,416.489168,334.723931,1.450518
58,2014/11/28,369.373993,382.838013,358.454987,376.446991,376.446991,22946500,369.604143,371.649497,371.537233,371.076587,41.371735,0.288632,415.50126,338.807737,1.831026
59,2014/11/29,376.152008,387.601013,372.144989,375.490997,375.490997,15375600,372.82857,371.60364,372.525674,371.665285,49.688695,0.509419,415.56615,339.965545,2.032017
60,2014/11/30,375.51001,382.527008,373.30899,378.046997,378.046997,9194440,374.324855,370.90114,373.906005,372.516317,44.764221,0.383816,415.77638,340.867614,2.370228
61,2014/12/1,378.248993,383.661987,376.669006,379.244995,379.244995,11763000,374.659711,370.318069,375.240753,373.4136,45.687572,0.474477,416.018637,341.780356,2.703765
62,2014/12/2,379.25,384.037994,377.863007,381.315002,381.315002,12364100,375.512141,370.754998,376.759315,374.467248,53.619315,0.740273,407.452257,346.122136,3.099399
63,2014/12/3,381.721985,383.026001,374.346008,375.01001,375.01001,13340100,376.460715,370.358928,376.321989,374.539624,46.755536,0.703126,397.136992,351.864903,2.871086
64,2014/12/4,375.717987,378.654999,367.759003,369.604004,369.604004,14529600,376.451285,371.199214,374.642493,373.881481,58.631725,1,392.954783,353.225713,2.22824
65,2014/12/5,369.441986,379.191986,365.756012,376.854004,376.854004,15181800,376.50943,373.056787,375.19537,374.277849,69.009685,1,393.016684,353.235913,2.277541
66,2014/12/6,376.756989,378.447998,370.945007,374.785004,374.785004,7009320,376.408574,374.618572,375.092779,374.345474,65.983417,0.921417,391.141294,353.801604,2.125164
67,2014/12/7,374.835999,376.291992,373.274994,375.095001,375.095001,6491650,375.98686,375.155858,375.093334,374.445417,56.957602,0.687045,389.218052,354.493548,2.006291
68,2014/12/8,374.964996,376.028992,361.885986,361.908997,361.908997,18898700,373.510289,374.085,371.79725,372.773808,37.056667,0.170279,389.025768,353.356932,0.838418
69,2014/12/9,361.894989,363.066986,344.950989,352.218994,352.218994,32915500,369.353716,372.432929,366.902686,370.033044,32.491559,0.051738,388.9301,350.618999,-0.859128
70,2014/12/10,352.204987,352.384003,346.36499,346.36499,346.36499,16427700,365.261571,370.861143,361.768262,366.877182,33.054042,0.034732,390.435983,347.965616,-2.64631
71,2014/12/11,344.339996,361.356995,338.763,350.506012,350.506012,32431300,362.533286,369.492286,358.952699,364.694286,35.860583,0.092256,390.481566,347.885835,-3.686029
72,2014/12/12,350.833008,352.983002,349.290985,352.541992,352.541992,16989800,359.060141,367.784786,357.350023,363.073933,31.035908,0,390.52402,347.805579,-4.296203
73,2014/12/13,352.381012,352.381012,346.588013,347.376007,347.376007,11675900,355.14457,365.776572,354.856519,360.980823,29.09262,0,391.635509,344.674391,-5.137401
74,2014/12/14,346.72699,353.31601,345.417999,351.631989,351.631989,12415200,351.792712,363.889786,354.050386,359.734285,30.841191,0.043805,391.098666,342.684333,-5.398405
75,2014/12/15,351.360992,351.815002,344.93399,345.345001,345.345001,17264200,349.426426,361.468358,351.87404,357.815677,27.102634,0,391.06611,339.71659,-6.042901
76,2014/12/16,345.673004,345.859009,327.062012,327.062012,327.062012,30864900,345.832572,357.593144,345.671033,353.715122,19.939262,0,394.126212,332.525689,-7.937455
77,2014/12/17,326.855011,333.95401,315.152008,319.776001,319.776001,37567900,342.034145,353.647858,339.197275,349.189841,19.724826,0,397.070214,324.592286,-9.912558
78,2014/12/18,319.785004,323.709015,304.231995,311.395996,311.395996,39173000,336.447,349.490143,332.246955,344.1506,19.102052,0,399.194507,315.962893,-12.015529
79,2014/12/19,311.178986,318.53299,306.769012,317.842987,317.842987,23823100,331.489999,345.27507,328.645963,340.642881,18.406462,0,398.987965,310.404635,-13.011938
80,2014/12/20,317.618988,330.325012,316.044006,329.955994,329.955994,20856700,329.001426,342.072998,328.973471,339.217949,28.329857,0.257409,396.467262,308.116237,-12.678036
81,2014/12/21,329.542999,329.628998,318.903015,320.842987,320.842987,15207600,324.602997,338.197854,326.94085,336.767935,25.831704,0.398132,393.765859,304.977439,-12.998916
82,2014/12/22,321.067993,334.117004,320.424988,331.885986,331.885986,22315100,322.68028,336.053353,328.177134,336.117004,36.364949,1,389.263855,304.536542,-12.221259
83,2014/12/23,332.016998,336.286987,329.60199,334.571991,334.571991,16574200,323.753135,334.792853,329.775848,335.911001,41.441053,1,385.413633,304.342962,-11.258442
84,2014/12/24,334.38501,334.740997,321.356995,322.533997,322.533997,15092300,324.147134,333.090639,327.965385,334.127391,39.095859,0.898188,382.477181,302.572413,-11.336092
85,2014/12/25,322.286011,322.670013,316.958008,319.007996,319.007996,9883640,325.234563,330.840781,325.726038,332.111462,35.506151,0.742348,377.438523,301.826471,-11.54902
86,2014/12/26,319.152008,331.424011,316.627014,327.924011,327.924011,16410500,326.674709,329.082354,326.275531,331.553133,39.346553,0.909072,371.566174,303.012721,-10.872982
87,2014/12/27,327.583008,328.911011,312.630005,315.863007,315.863007,15185200,324.661425,326.831425,323.6724,329.461109,37.130722,0.812876,364.884636,303.771059,-11.181545
88,2014/12/28,316.160004,320.028015,311.078003,317.239014,317.239014,11676600,324.146572,324.374784,322.064054,327.831492,35.616257,0.747128,360.625754,303.562942,-11.186105
89,2014/12/29,317.700989,320.266998,312.307007,312.670013,312.670013,12302500,321.401433,322.040857,319.715543,325.809956,36.135519,0.769671,358.254878,301.978921,-11.426679
90,2014/12/30,312.718994,314.80899,309.372986,310.737,310.737,12528300,317.996434,320.874784,317.470908,323.800224,41.957097,1,356.652893,300.018106,-11.639145
91,2014/12/31,310.914001,320.192993,310.210999,320.192993,320.192993,13942900,317.662005,320.904569,318.151429,323.319259,50.20114,1,353.32796,300.311737,-10.918643
92,2015/1/1,320.434998,320.434998,314.002991,314.248993,314.248993,8036550,316.982147,321.108355,317.17582,322.109888,51.409291,1,349.013769,300.796629,-10.703883
93,2015/1/2,314.07901,315.838989,313.565002,315.032013,315.032013,7860650,315.140433,320.907571,316.639868,321.16617,48.529165,0.887397,345.297786,301.278212,-10.351179
94,2015/1/3,314.846008,315.149994,281.082001,281.082001,281.082001,33054400,310.171718,317.416572,307.750401,315.821608,29.18379,0.131056,345.017683,294.503316,-12.665145
95,2015/1/4,281.145996,287.230011,257.612,264.195007,264.195007,55629100,302.594003,313.370287,296.861553,308.938054,27.371232,0,348.57864,282.82736,-15.68086
96,2015/1/5,265.084015,278.341003,265.084015,274.473999,274.473999,43962800,297.137429,309.269431,291.264664,304.342842,26.925194,0,350.25414,275.893058,-17.044924
97,2015/1/6,274.610992,287.553009,272.696014,286.188995,286.188995,23245700,293.630572,305.813503,289.995747,301.922327,31.869934,0.201957,350.294446,272.494052,-16.984861
98,2015/1/7,286.076996,298.753998,283.07901,294.337006,294.337006,24866800,289.936859,303.799432,291.081062,300.91095,39.11675,0.497938,350.182372,270.900227,-16.09426
99,2015/1/8,294.13501,294.13501,282.174988,283.348999,283.348999,19982500,285.522574,301.252361,289.148046,298.569355,36.986249,0.410922,350.088061,267.545139,-16.089621
100,2015/1/9,282.382996,291.114014,280.53299,290.40799,290.40799,18718600,282.004857,298.572645,289.463032,297.481173,36.120398,0.375558,347.632994,266.045405,-15.339519
101,2015/1/10,287.303009,288.127014,273.966003,274.79599,274.79599,15264300,281.106855,295.639287,285.796272,294.45648,35.195637,0.337788,347.159503,261.914198,-15.822425
102,2015/1/11,274.608002,279.638,265.039001,265.660004,265.660004,18200800,281.31614,291.955072,280.762205,290.616949,32.391316,0.223252,345.171498,257.279604,-16.749253
103,2015/1/12,266.145996,272.203003,265.200012,267.79599,267.79599,18880300,280.362139,288.749784,277.520651,287.574153,34.421555,0.306173,341.308837,254.464664,-17.114135
104,2015/1/13,267.394012,268.277008,219.906006,225.860992,225.860992,72843904,271.743853,282.687212,264.605736,279.345729,26.939375,0.000579,345.506505,240.599696,-20.550219
105,2015/1/14,223.893997,223.893997,171.509995,178.102997,178.102997,97638704,255.138995,272.537927,242.980051,265.846695,18.045247,0,357.996325,214.019376,-26.817872
106,2015/1/15,176.897003,229.067001,176.897003,209.843994,209.843994,81773504,244.63828,265.080427,234.696037,258.379666,28.961378,0.358095,356.830214,203.377486,-28.890765
107,2015/1/16,209.070007,221.591003,199.770996,208.097,208.097,38421000,232.879567,257.442212,228.046278,251.675309,28.534947,0.497815,355.876254,193.554845,-30.324948
108,2015/1/17,207.834,211.731003,194.875,199.259995,199.259995,23469700,222.08871,251.597783,220.849707,244.6866,31.734362,0.649651,354.013433,183.619764,-31.807958
109,2015/1/18,200.050003,218.695007,194.505997,210.339005,210.339005,30085100,214.18571,247.750925,218.222032,240.10692,37.657329,0.93074,350.090597,177.309499,-31.723581
110,2015/1/19,211.470993,216.727997,207.317993,214.860992,214.860992,18658300,206.623568,243.492853,217.381772,236.740796,35.967663,0.850552,344.946595,172.865901,-30.935223
111,2015/1/20,212.906998,215.240997,205.153,211.315002,211.315002,24051100,204.545569,238.144711,215.865079,233.350689,31.670451,0.646618,336.914335,170.010362,-30.247897
112,2015/1/21,211.378006,227.787994,211.212006,226.897003,226.897003,29924600,211.516142,233.327568,218.62306,232.490198,34.07014,0.817093,328.180704,170.008793,-28.121679
113,2015/1/22,227.322006,237.018997,226.434006,233.406006,233.406006,33544600,214.882143,229.760211,222.318797,232.612306,37.948058,1,317.958371,172.068526,-25.616128
114,2015/1/23,233.516998,234.845001,225.195999,232.878998,232.878998,24621700,218.422429,225.650998,224.958847,232.647865,35.665555,0.885318,313.692118,171.514479,-23.403208
115,2015/1/24,232.699997,248.210007,230.022003,247.847,247.847,24782500,225.363429,223.72607,230.680885,234.674416,43.263526,1,312.202146,171.36965,-20.208706
116,2015/1/25,247.352005,255.074005,243.889999,253.718002,253.718002,33582700,231.560429,222.87307,236.440164,237.213561,46.965307,1,309.733147,171.763049,-17.007251
117,2015/1/26,254.078995,309.384003,254.078995,273.472992,273.472992,106794000,239.933572,223.27857,245.698371,242.048152,51.32407,1,307.551017,172.673578,-12.729277
118,2015/1/27,273.166992,275.480011,250.653,263.475006,263.475006,44399000,247.385001,225.965285,250.14253,244.905066,60.3086,1,302.081788,175.056608,-10.030085
119,2015/1/28,263.351013,266.535004,227.046005,233.914993,233.914993,44352200,248.387571,229.951856,246.085646,243.439723,66.990782,1,296.018548,176.176447,-10.159095
120,2015/1/29,233.348007,238.705994,220.712006,233.513,233.513,32213400,248.402856,231.6425,242.942484,242.11616,58.904618,0.789729,287.445826,179.05967,-10.176465
121,2015/1/30,232.772003,242.850998,225.839005,226.425003,226.425003,26605200,247.480857,232.951643,238.813114,240.024006,56.628861,0.70663,281.41819,180.250208,-10.639527
122,2015/1/31,226.440994,233.503998,216.309006,217.464005,217.464005,23348200,243.140429,234.251929,233.475837,237.016005,56.578115,0.705193,276.555357,180.293441,-11.595915
123,2015/2/1,216.867004,231.574005,212.014999,226.972,226.972,29128500,239.319571,235.44,231.849878,235.676805,56.079446,0.691075,270.803336,181.963062,-11.454601
124,2015/2/2,226.490997,242.175003,222.658997,238.229004,238.229004,30612100,234.284716,237.109144,233.444659,236.017098,58.14035,0.749424,271.734392,182.268808,-10.315354
125,2015/2/3,237.453995,245.957001,224.483002,227.268005,227.268005,40783700,229.112287,238.248644,231.900496,234.850552,55.284306,0.644403,267.829234,191.090467,-10.17961
126,2015/2/4,227.511002,230.057999,221.113007,226.852997,226.852997,26594300,228.103431,238.245501,230.638621,233.784211,49.983795,0.457083,267.587481,193.033119,-9.990356
127,2015/2/5,227.664993,239.404999,214.725006,217.110992,217.110992,22516400,225.760287,237.081571,227.256714,231.561115,44.139032,0.2705,267.113868,194.408132,-10.50537
128,2015/2/6,216.923004,230.509995,216.231995,222.266006,222.266006,24435300,225.166144,236.3235,226.009037,230.321768,46.305723,0.128215,265.411215,198.411386,-10.377926
129,2015/2/7,222.632996,230.298996,222.606995,227.753998,227.753998,21604200,226.636143,234.888286,226.445277,229.979398,42.511608,0,264.793283,200.770817,-9.722021
