@relation BTC-Trend

@attribute index numeric
@attribute Date date yyyy-MM-dd
@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute 'Adj Close' numeric
@attribute Volume numeric
@attribute SMA_7 numeric
@attribute SMA_14 numeric
@attribute EMA_7 numeric
@attribute EMA_14 numeric
@attribute RSI numeric
@attribute Stoch_RSI numeric
@attribute Upper_BB numeric
@attribute Lower_BB numeric
@attribute MACD numeric
@attribute ScorePositive numeric
@attribute ScoreNegative numeric
@attribute ScoreNeutral numeric
@attribute UpDown {1,-1}

@data
0,2018-01-28,11475.299805,12040.299805,11475.299805,11786.299805,8350360064,11259.571708,11635.535854,11516.047002,11884.539097,37.129744,0.560353,15192.188206,9606.291969,-761.452864,0.023502,0.057272,0.919226,1
1,2018-01-29,11755.5,11875.599609,11179.200195,11296.400391,7107359744,11311.714565,11455.293039,11461.122271,11804.864485,34.531168,0.83516,14866.144405,9602.435771,-744.090581,0.163158,0.294283,0.542558,-1
2,2018-01-30,11306.799805,11307.200195,10036.200195,10106.299805,8637859840,11202.843052,11356.421596,11122.356157,11575.251876,40.137091,1,14450.867575,9531.012601,-816.944788,0.102038,0.260553,0.63741,-1
3,2018-01-31,10108.200195,10381.599609,9777.419922,10221.099609,8041160192,11040.228655,11287.314453,10897.011838,11392.534553,42.91738,1,14318.165125,9345.245031,-855.556563,0.098884,0.268044,0.633072,1
4,2018-02-01,10237.299805,10288.799805,8812.280273,9170.540039,9959400448,10741.820033,11122.717285,10465.350527,11093.196564,34.828472,0.651247,14132.400116,9050.004084,-959.863343,0.075772,0.452595,0.471633,-1
5,2018-02-02,9142.280273,9142.280273,7796.490234,8830.75,12726899712,10407.441406,10924.385114,10056.669605,10788.829847,32.20472,0.28438,13789.784903,8839.674277,-1057.752323,0.095994,0.537961,0.366045,-1
6,2018-02-03,8852.120117,9430.75,8251.629883,9174.910156,7263790080,10083.757115,10658.364397,9836.217287,10571.968877,22.831301,0,13450.50651,8719.243685,-1094.93744,0.029078,0.69976,0.271163,1
7,2018-02-04,9175.700195,9334.870117,8031.220215,8277.009766,7073549824,9582.429967,10421.000837,9446.398886,10263.916316,24.250826,0.070672,13122.45624,8493.014951,-1183.220541,0.15495,0.015958,0.829092,-1
8,2018-02-05,8270.540039,8364.839844,6756.680176,6955.27002,9285289984,8962.268485,10136.991525,8823.596875,9820.194346,22.022131,0,13438.911654,7723.036539,-1344.342146,0.093742,0.42889,0.477368,-1
9,2018-02-06,7051.75,7850.700195,6048.259766,7754,13999800320,8626.225656,9914.534354,8556.191282,9543.312383,30.141752,0.388587,13515.429243,7303.05899,-1391.540532,0.141431,0.436157,0.422412,1
10,2018-02-07,7755.490234,8509.110352,7236.790039,7621.299805,9169280000,8254.825684,9647.527169,8322.464234,9285.924685,25.023646,0.143646,13516.463033,6916.665141,-1423.247083,0.215558,0.315562,0.468879,-1
11,2018-02-08,7637.859863,8558.769531,7637.859863,8265.589844,9346750464,8125.547084,9433.683559,8308.245446,9149.365341,31.352945,0.446552,13391.008725,6707.938394,-1380.472702,0.091198,0.258941,0.649861,1
12,2018-02-09,8271.839844,8736.980469,7884.709961,8736.980469,6784820224,8112.151437,9259.796422,8415.430279,9094.200495,35.528287,0.646375,12945.631775,6737.093372,-1293.624316,0.128239,0.357497,0.514264,1
13,2018-02-10,8720.080078,9122.549805,8295.469727,8621.900391,7780960256,8033.150042,9058.453578,8467.048196,9031.048366,32.930311,0.522041,12726.427357,6658.477867,-1220.018729,0.771227,0.013571,0.215202,-1
14,2018-02-11,8616.129883,8616.129883,7931.100098,8129.970215,6122189824,8012.144392,8797.287179,8382.778224,8910.609113,28.244087,0.297769,12604.135462,6500.626745,-1187.68948,0.037184,0.134243,0.828572,-1
15,2018-02-12,8141.430176,8985.919922,8141.430176,8926.570313,6256439808,8293.758719,8628.013602,8518.726823,8912.741808,36.395567,0.687881,12453.847827,6456.731372,-1085.278927,0.162441,0.259515,0.578043,1
