@relation TSLA
@attribute Date date yyyy-MM-dd
@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute 'Adj Close' numeric
@attribute Volume numeric
@attribute SMA_7 numeric
@attribute SMA_14 numeric
@attribute EMA_7 numeric
@attribute EMA_14 numeric
@attribute RSI numeric
@attribute Stoch_RSI numeric
@attribute Upper_BB numeric
@attribute Lower_BB numeric
@attribute MACD numeric

@data
2010-08-06,1.34,1.344,1.301333,1.306,1.306,11128500,1.375809,1.378524,1.369084,1.366942,36.84802,0,1.509766,1.203301,-0.013245
2010-08-09,1.326667,1.332,1.296667,1.306667,1.306667,12190500,1.368667,1.37519,1.353476,1.358777,45.152407,0.227167,1.481319,1.248747,-0.017388
2010-08-10,1.31,1.31,1.254667,1.268667,1.268667,19219500,1.36,1.369524,1.33227,1.346596,42.28276,0.148668,1.46967,1.26633,-0.023467
2010-08-11,1.246,1.258667,1.19,1.193333,1.193333,11964000,1.331238,1.354762,1.297531,1.325916,30.769193,0,1.488619,1.234447,-0.033972
2010-08-12,1.186667,1.193333,1.159333,1.173333,1.173333,10365000,1.289809,1.33719,1.266478,1.30536,27.137552,0,1.505875,1.201925,-0.043411
2010-08-13,1.212,1.23,1.177333,1.221333,1.221333,9510000,1.261809,1.324667,1.255191,1.294056,34.437831,0.159977,1.508775,1.183558,-0.046482
2010-08-16,1.23,1.253333,1.217333,1.252,1.252,7287000,1.245905,1.316238,1.254393,1.288405,39.600478,0.30327,1.494131,1.177335,-0.045912
2010-08-17,1.264,1.293333,1.252,1.276667,1.276667,6718500,1.241714,1.308762,1.259962,1.28683,40.987449,0.356878,1.492204,1.171596,-0.042975
2010-08-18,1.306,1.306,1.24,1.251333,1.251333,9019500,1.233809,1.301238,1.257805,1.282069,40.940348,0.359604,1.491112,1.163021,-0.042205
2010-08-19,1.236,1.283333,1.222,1.252667,1.252667,8686500,1.231524,1.295762,1.25652,1.278129,43.097331,0.420313,1.483187,1.156213,-0.041014
2010-08-20,1.243333,1.274,1.234,1.273333,1.273333,4440000,1.242952,1.287095,1.260723,1.277487,38.120058,0.311733,1.470091,1.154709,-0.037965
2010-08-23,1.272667,1.359333,1.266667,1.342,1.342,16321500,1.267048,1.278428,1.281043,1.286121,38.120188,0.362076,1.463043,1.15629,-0.029666
2010-08-24,1.283333,1.314,1.263333,1.28,1.28,10096500,1.275429,1.268619,1.280782,1.285302,36.962109,0.449983,1.456355,1.153978,-0.027771
2010-08-25,1.277333,1.332,1.237333,1.326667,1.326667,7549500,1.286095,1.266,1.292253,1.290833,46.469911,1,1.449751,1.155115,-0.022248
2010-08-26,1.326,1.351333,1.306667,1.316667,1.316667,6507000,1.29181,1.266762,1.298357,1.294286,51.129968,1,1.445723,1.155143,-0.018465
