@relation BTC-2y
@attribute Date date yyyy-MM-dd
@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute 'Adj Close' numeric
@attribute Volume numeric
@attribute SMA_7 numeric
@attribute SMA_14 numeric
@attribute EMA_7 numeric
@attribute EMA_14 numeric
@attribute RSI numeric
@attribute Stoch_RSI numeric
@attribute Upper_BB numeric
@attribute Lower_BB numeric
@attribute MACD numeric

@data
2021-07-22,0.315963,0.310705,0.317946,0.319157,0.319157,0.111752,0.306098,0.332838,0.31679,0.327075,0.39261,0.668763,0.356042,0.359191,0.345692
2021-07-23,0.31919,0.329837,0.324101,0.343654,0.343654,0.138521,0.312375,0.332512,0.326433,0.331283,0.413641,0.794436,0.352866,0.360462,0.366879
2021-07-24,0.344066,0.347136,0.351019,0.357384,0.357384,0.130595,0.320394,0.333672,0.337342,0.336945,0.468367,1,0.348738,0.36304,0.391496
2021-07-25,0.357522,0.363782,0.360018,0.377811,0.377811,0.123377,0.330721,0.335341,0.350996,0.34485,0.485036,1,0.354691,0.359697,0.422232
2021-07-26,0.37865,0.461519,0.387694,0.416192,0.416192,0.392838,0.349668,0.341625,0.371518,0.357337,0.631437,1,0.369605,0.349285,0.467356
2021-07-27,0.415198,0.440719,0.410426,0.456158,0.456158,0.250586,0.377565,0.351701,0.397616,0.374011,0.715926,1,0.395265,0.331846,0.524116
2021-07-28,0.45822,0.467541,0.458094,0.467533,0.467533,0.282789,0.40048,0.362482,0.420235,0.390098,0.725772,1,0.419842,0.319139,0.573509
2021-07-29,0.467729,0.463297,0.467735,0.467774,0.467774,0.179747,0.422843,0.374846,0.437264,0.404044,0.797194,1,0.439624,0.309978,0.610398
2021-07-30,0.468348,0.49456,0.448936,0.510786,0.510786,0.232501,0.447992,0.391098,0.461557,0.422422,0.852268,1,0.467981,0.29643,0.660765
2021-07-31,0.510244,0.494482,0.502368,0.499018,0.499018,0.16756,0.469305,0.406266,0.476624,0.436596,0.810901,0.942786,0.488635,0.288864,0.69077
2021-08-01,0.496037,0.500387,0.471455,0.467127,0.467127,0.175471,0.482744,0.418556,0.479381,0.444188,0.71193,0.8059,0.500976,0.289682,0.693335
2021-08-02,0.466026,0.459987,0.455808,0.452199,0.452199,0.165706,0.488163,0.431156,0.47745,0.448573,0.722799,0.820933,0.50957,0.294136,0.683768
2021-08-03,0.451946,0.44725,0.436819,0.431941,0.431941,0.171017,0.484518,0.443698,0.470575,0.449402,0.720748,0.74805,0.514627,0.300099,0.661853
2021-08-04,0.433304,0.4511,0.433021,0.462735,0.462735,0.163716,0.483797,0.455174,0.473668,0.454628,0.707814,0.685736,0.521967,0.309262,0.658792
2021-08-05,0.462882,0.477551,0.430438,0.484405,0.484405,0.251369,0.486299,0.468033,0.481793,0.462323,0.724384,0.708445,0.53042,0.32042,0.665485
2021-08-06,0.484543,0.514282,0.479159,0.522006,0.522006,0.278537,0.487987,0.481911,0.497959,0.474487,0.735486,0.695802,0.543329,0.330483,0.688567
2021-08-07,0.522539,0.541276,0.532058,0.555596,0.555596,0.294655,0.496501,0.497335,0.519081,0.489933,0.750755,0.723574,0.560313,0.339094,0.722006
2021-08-08,0.556182,0.552554,0.546105,0.540963,0.540963,0.261352,0.507612,0.510031,0.531003,0.501175,0.697739,0.30024,0.568234,0.358706,0.736464
2021-08-09,0.541067,0.57491,0.53659,0.590544,0.590544,0.283072,0.528429,0.523598,0.553227,0.518158,0.707391,0.06246,0.578479,0.38356,0.771458
2021-08-10,0.589145,0.578358,0.573154,0.575473,0.575473,0.236728,0.550027,0.532883,0.565857,0.530669,0.632821,0,0.586735,0.403879,0.78633
2021-08-11,0.575988,0.580216,0.585878,0.57564,0.57564,0.243639,0.567017,0.541295,0.575374,0.541533,0.619852,0,0.590681,0.428767,0.793706
2021-08-12,0.575547,0.570571,0.556532,0.553134,0.553134,0.238314,0.577359,0.547937,0.576483,0.547658,0.56926,0,0.589959,0.453668,0.782567
2021-08-13,0.55358,0.601085,0.564822,0.618121,0.618121,0.220633,0.591822,0.556289,0.594723,0.562456,0.595424,0.108274,0.59993,0.472057,0.805515
2021-08-14,0.618698,0.606161,0.602142,0.604672,0.604672,0.215873,0.599207,0.564511,0.604801,0.573315,0.592016,0.12538,0.605209,0.491995,0.811459
2021-08-15,0.604905,0.592046,0.590366,0.603708,0.603708,0.213886,0.608648,0.575139,0.612101,0.582583,0.660112,0.500576,0.612113,0.50553,0.810928
2021-08-16,0.603423,0.604247,0.592743,0.583574,0.583574,0.229857,0.607599,0.585362,0.612182,0.587674,0.647795,0.432713,0.617237,0.514225,0.794712
2021-08-17,0.582493,0.587905,0.569351,0.558291,0.558291,0.235882,0.605014,0.595194,0.605471,0.588394,0.636256,0.369131,0.618857,0.522772,0.763539
2021-08-18,0.558352,0.565302,0.566429,0.560335,0.560335,0.224652,0.602711,0.602789,0.600985,0.589317,0.602932,0.185524,0.619837,0.532268,0.73614
2021-08-19,0.559417,0.584692,0.559228,0.597346,0.597346,0.269407,0.609364,0.611577,0.607535,0.595519,0.62142,0.287391,0.626432,0.534565,0.731381
2021-08-20,0.597689,0.62983,0.611458,0.647976,0.647976,0.247097,0.613856,0.621379,0.626009,0.608285,0.63585,0.366898,0.641195,0.534556,0.751958
2021-08-21,0.64799,0.636965,0.644175,0.6396,0.6396,0.299607,0.619112,0.627916,0.637622,0.618126,0.576809,0.054646,0.649668,0.544544,0.759464
2021-08-22,0.639143,0.632294,0.641965,0.647637,0.647637,0.163702,0.625722,0.636217,0.648484,0.627827,0.62147,0.377975,0.654933,0.560889,0.765737
2021-08-23,0.647306,0.651528,0.659188,0.651973,0.651973,0.243508,0.636015,0.640997,0.657793,0.636867,0.557225,0,0.652818,0.588617,0.76892
2021-08-24,0.652535,0.640044,0.631866,0.616437,0.616437,0.252942,0.644764,0.644185,0.655254,0.639514,0.507413,0,0.646143,0.614014,0.747561
2021-08-25,0.617086,0.627179,0.621558,0.640668,0.640668,0.228691,0.656852,0.649245,0.659842,0.645345,0.545435,0.249003,0.643078,0.635519,0.740324
2021-08-26,0.641723,0.629933,0.606635,0.601684,0.601684,0.228872,0.657505,0.653023,0.652839,0.644708,0.510778,0.022036,0.639351,0.648993,0.709216
2021-08-27,0.601001,0.625464,0.606408,0.642558,0.642558,0.245349,0.65669,0.654924,0.658537,0.650122,0.472001,0,0.643332,0.654366,0.703998
2021-08-28,0.643074,0.628714,0.647858,0.639541,0.639541,0.192261,0.656681,0.657638,0.662002,0.654373,0.493913,0.116485,0.643754,0.6652,0.694809
2021-08-29,0.639957,0.635577,0.636567,0.638139,0.638139,0.168335,0.655252,0.660317,0.664225,0.657853,0.492965,0.11925,0.646969,0.66694,0.683509
