@relation TSLA-all
@attribute Date date yyyy-MM-dd
@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute 'Adj Close' numeric
@attribute Volume numeric
@attribute SMA_7 numeric
@attribute SMA_14 numeric
@attribute EMA_7 numeric
@attribute EMA_14 numeric
@attribute RSI numeric
@attribute Stoch_RSI numeric
@attribute Upper_BB numeric
@attribute Lower_BB numeric
@attribute MACD numeric

@data
2010-08-06,0.000374,0.000365,0.000351,0.000325,0.000325,0.01025,0.000365,0.000303,0.000295,0.000243,0.343203,0,0.000276,0.000302,0.398775
2010-08-09,0.000341,0.000336,0.00034,0.000326,0.000326,0.011414,0.000347,0.000294,0.000255,0.000221,0.433087,0.227167,0.000212,0.00044,0.398709
2010-08-10,0.000301,0.000282,0.000236,0.000233,0.000233,0.019119,0.000325,0.000278,0.000201,0.000188,0.402027,0.148668,0.000185,0.000493,0.398613
2010-08-11,0.000145,0.000158,0.000076,0.000049,0.000049,0.011166,0.000252,0.000239,0.000111,0.000132,0.277409,0,0.000228,0.000396,0.398447
2010-08-12,0,0,0,0,0,0.009413,0.000148,0.000191,0.000031,0.000076,0.238101,0,0.000268,0.000298,0.398298
2010-08-13,0.000062,0.000089,0.000044,0.000117,0.000117,0.008476,0.000077,0.000158,0.000002,0.000045,0.317116,0.159977,0.000274,0.000242,0.39825
2010-08-16,0.000106,0.000145,0.000143,0.000192,0.000192,0.006039,0.000036,0.000135,0,0.00003,0.372995,0.30327,0.000241,0.000223,0.398259
2010-08-17,0.000188,0.000242,0.000229,0.000253,0.000253,0.005416,0.000026,0.000115,0.000014,0.000025,0.388007,0.356878,0.000236,0.000206,0.398305
2010-08-18,0.000291,0.000273,0.000199,0.000191,0.000191,0.007938,0.000006,0.000095,0.000009,0.000012,0.387497,0.359604,0.000234,0.00018,0.398317
2010-08-19,0.00012,0.000218,0.000155,0.000194,0.000194,0.007573,0,0.00008,0.000005,0.000002,0.410843,0.420313,0.000216,0.000159,0.398336
2010-08-20,0.000138,0.000195,0.000185,0.000245,0.000245,0.002918,0.000029,0.000057,0.000016,0,0.356971,0.311733,0.000186,0.000154,0.398384
2010-08-23,0.00021,0.000402,0.000265,0.000413,0.000413,0.015942,0.00009,0.000033,0.000069,0.000024,0.356973,0.362076,0.00017,0.000159,0.398515
2010-08-24,0.000236,0.000292,0.000257,0.000261,0.000261,0.009119,0.000111,0.000007,0.000068,0.000021,0.344438,0.449983,0.000155,0.000152,0.398545
2010-08-25,0.000221,0.000336,0.000193,0.000375,0.000375,0.006327,0.000138,0,0.000098,0.000036,0.447347,1,0.00014,0.000156,0.398632
2010-08-26,0.00034,0.000382,0.000364,0.000351,0.000351,0.005184,0.000153,0.000002,0.000113,0.000046,0.497785,1,0.000131,0.000156,0.398692
2010-08-27,0.000317,0.000318,0.000348,0.000342,0.000342,0.004293,0.000175,0.000003,0.000123,0.000053,0.493155,0.98217,0.000128,0.000155,0.398738
2010-08-30,0.000309,0.000369,0.000366,0.00037,0.00037,0.0101,0.000201,0.000014,0.000137,0.000063,0.553202,1,0.000105,0.000164,0.398791
2010-08-31,0.000302,0.000305,0.00032,0.000307,0.000307,0.001358,0.00021,0.000034,0.000132,0.000062,0.628542,1,0.000031,0.000213,0.398802
2010-09-01,0.000296,0.00045,0.000364,0.000465,0.000465,0.006189,0.000218,0.000071,0.000169,0.000085,0.717488,1,0,0.000238,0.398894
2010-09-02,0.000418,0.000539,0.000481,0.000564,0.000564,0.00606,0.000263,0.000106,0.000223,0.00012,0.712287,0.986058,0.000022,0.00022,0.399019
2010-09-03,0.000499,0.000548,0.000539,0.000563,0.000563,0.005197,0.00029,0.000135,0.000263,0.000149,0.687274,0.919007,0.000059,0.0002,0.399115
2010-09-07,0.000457,0.0005,0.000513,0.000479,0.000479,0.002054,0.000309,0.000153,0.000271,0.000163,0.606298,0.701944,0.000077,0.000196,0.399146
2010-09-08,0.000465,0.000492,0.000529,0.000538,0.000538,0.002793,0.000338,0.00018,0.000293,0.000183,0.671176,0.875857,0.000106,0.000194,0.399199
2010-09-09,0.00052,0.000508,0.000544,0.000507,0.000507,0.004237,0.000359,0.000205,0.000301,0.000196,0.648418,0.81485,0.000115,0.00024,0.399222
2010-09-10,0.000479,0.000489,0.000391,0.000419,0.000419,0.004408,0.000375,0.000218,0.000284,0.000194,0.57316,0.613113,0.000095,0.000318,0.399192
2010-09-13,0.000502,0.000484,0.000513,0.000509,0.000509,0.003984,0.000382,0.000226,0.000295,0.000206,0.537642,0.517904,0.000098,0.000363,0.399212
2010-09-14,0.000445,0.000597,0.000518,0.000574,0.000574,0.008816,0.000383,0.000251,0.00032,0.000226,0.671102,0.828291,0.000115,0.000388,0.399259
2010-09-15,0.000517,0.000661,0.00056,0.000714,0.000714,0.009308,0.000406,0.000277,0.000376,0.000264,0.68098,0.837261,0.000162,0.000382,0.399364
2010-09-16,0.000707,0.000848,0.000569,0.000545,0.000545,0.04219,0.000415,0.000292,0.000373,0.000272,0.582398,0.397813,0.000163,0.000425,0.399356
2010-09-17,0.000523,0.000552,0.000397,0.000429,0.000429,0.017757,0.000399,0.000299,0.00034,0.000261,0.524793,0,0.00015,0.000471,0.399285
2010-09-20,0.000466,0.000556,0.000457,0.000564,0.000564,0.01363,0.000408,0.000314,0.000352,0.000273,0.566359,0.215706,0.000151,0.00051,0.399296
2010-09-21,0.000502,0.000589,0.000541,0.000517,0.000517,0.011139,0.000422,0.000331,0.000348,0.000275,0.574262,0.256723,0.000155,0.000516,0.399276
2010-09-22,0.000499,0.000492,0.000397,0.00037,0.00037,0.013884,0.000402,0.000324,0.000306,0.000256,0.445314,0,0.000145,0.000544,0.399182
2010-09-23,0.00034,0.000361,0.000348,0.00032,0.00032,0.009036,0.000364,0.000304,0.000261,0.000231,0.377319,0,0.000149,0.000532,0.39908
2010-09-24,0.000349,0.000369,0.000372,0.000408,0.000408,0.00757,0.000319,0.000292,0.000251,0.000223,0.42153,0.145595,0.000146,0.000542,0.399044
