@relation TSLA-2y
@attribute Date date yyyy-MM-dd
@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute 'Adj Close' numeric
@attribute Volume numeric
@attribute SMA_7 numeric
@attribute SMA_14 numeric
@attribute EMA_7 numeric
@attribute EMA_14 numeric
@attribute RSI numeric
@attribute Stoch_RSI numeric
@attribute Upper_BB numeric
@attribute Lower_BB numeric
@attribute MACD numeric

@data
2021-08-03,0.443047,0.426539,0.433955,0.425614,0.425614,0.127924,0.39426,0.405403,0.4102,0.410985,0.703809,1,0.319424,0.486024,0.426455
2021-08-04,0.434402,0.429017,0.442643,0.426917,0.426917,0.077947,0.403253,0.411019,0.418335,0.417959,0.723195,1,0.327906,0.484522,0.439493
2021-08-05,0.439805,0.424667,0.445364,0.431013,0.431013,0.033757,0.415039,0.417575,0.425567,0.424657,0.771482,1,0.336211,0.482626,0.450805
2021-08-06,0.435375,0.419581,0.430247,0.413865,0.413865,0.063016,0.423833,0.422499,0.426259,0.427589,0.675329,0.777712,0.340108,0.483551,0.452557
2021-08-09,0.433505,0.422553,0.438474,0.430053,0.430053,0.053192,0.429976,0.427458,0.431243,0.432808,0.676257,0.779857,0.345071,0.481192,0.459476
2021-08-10,0.437633,0.419867,0.434909,0.42589,0.42589,0.039306,0.433822,0.432551,0.433833,0.436627,0.683946,0.797633,0.350079,0.480624,0.462626
2021-08-11,0.43625,0.418315,0.437465,0.423494,0.423494,0,0.43351,0.438003,0.435115,0.439533,0.705344,0.8471,0.354156,0.48302,0.463458
2021-08-12,0.429366,0.426704,0.432188,0.439428,0.439428,0.082888,0.43562,0.445346,0.440471,0.44468,0.768422,0.99057,0.360229,0.485284,0.469435
2021-08-13,0.448136,0.434522,0.448578,0.433818,0.433818,0.075013,0.436675,0.450891,0.44294,0.448206,0.710364,0.811677,0.363774,0.490901,0.471183
2021-08-16,0.427994,0.412061,0.406957,0.399587,0.399587,0.139365,0.431873,0.454745,0.435351,0.445604,0.61792,0.526832,0.362987,0.497403,0.458714
2021-08-17,0.392972,0.373613,0.376724,0.376995,0.376995,0.150663,0.426239,0.456489,0.423428,0.439625,0.530319,0.182677,0.362785,0.498376,0.439673
2021-08-18,0.389827,0.396944,0.399223,0.402701,0.402701,0.114169,0.42206,0.457572,0.421576,0.438688,0.509294,0.111421,0.362533,0.503344,0.434068
2021-08-19,0.398969,0.386792,0.397293,0.385563,0.385563,0.048843,0.415898,0.456294,0.415461,0.435053,0.42652,0,0.361016,0.50859,0.422761
2021-08-20,0.403983,0.392936,0.403995,0.393061,0.393061,0.054562,0.411248,0.453556,0.412942,0.43314,0.366744,0,0.358224,0.517186,0.416484
2021-08-23,0.406782,0.414956,0.411729,0.421815,0.421815,0.113255,0.408557,0.453236,0.418983,0.43622,0.460199,0.230901,0.3584,0.523685,0.422301
2021-08-24,0.434056,0.418359,0.435743,0.424233,0.424233,0.035526,0.407092,0.453009,0.424181,0.439285,0.463302,0.238569,0.355534,0.536077,0.427513
2021-08-25,0.430112,0.420285,0.437235,0.427226,0.427226,0.030791,0.411315,0.45269,0.428905,0.442432,0.46023,0.232738,0.351206,0.550375,0.432411
2021-08-26,0.431495,0.418557,0.430236,0.416139,0.416139,0.036946,0.417297,0.452882,0.42939,0.443334,0.477071,0.274666,0.350564,0.554467,0.431653
2021-08-27,0.427918,0.418116,0.43515,0.428021,0.428021,0.043651,0.421166,0.45271,0.433031,0.44607,0.464751,0.243994,0.351506,0.556697,0.435205
2021-08-30,0.438422,0.435733,0.446812,0.44899,0.44899,0.095281,0.430857,0.454658,0.441545,0.45189,0.532122,0.411717,0.355333,0.554822,0.445551
2021-08-31,0.458175,0.446071,0.461852,0.454302,0.454302,0.119646,0.440215,0.457256,0.449395,0.457805,0.551511,0.459988,0.359982,0.552571,0.455146
2021-09-01,0.459342,0.447833,0.46715,0.452502,0.452502,0.036838,0.444904,0.458358,0.454787,0.462634,0.507405,0.40935,0.36372,0.551076,0.46134
2021-09-02,0.459796,0.44671,0.466349,0.450624,0.450624,0.032217,0.448936,0.459775,0.458312,0.466509,0.518811,0.605419,0.366489,0.55005,0.46477
2021-09-03,0.457365,0.439036,0.459394,0.451927,0.451927,0.058936,0.452711,0.464189,0.461316,0.470081,0.651303,1,0.370072,0.550309,0.467204
2021-09-07,0.46574,0.467883,0.475915,0.473294,0.473294,0.110818,0.461444,0.472309,0.469462,0.476689,0.805589,1,0.377147,0.54683,0.476459
2021-09-08,0.489059,0.472562,0.477572,0.474343,0.474343,0.097324,0.468522,0.47835,0.475861,0.482587,0.765188,0.907939,0.383856,0.544463,0.483227
2021-09-09,0.48023,0.469975,0.489485,0.475436,0.475436,0.046291,0.472563,0.485928,0.480961,0.487878,0.889797,1,0.39012,0.54309,0.487987
2021-09-10,0.486919,0.470536,0.470715,0.454909,0.454909,0.058266,0.472656,0.491143,0.479125,0.489088,0.730707,0.629676,0.391727,0.543007,0.482896
2021-09-13,0.465966,0.450905,0.442555,0.46234,0.46234,0.142342,0.474159,0.49456,0.479797,0.491359,0.673747,0.497052,0.394639,0.542916,0.480779
2021-09-14,0.468517,0.461574,0.472778,0.463986,0.463986,0.094423,0.476201,0.497912,0.480755,0.493597,0.671269,0.491283,0.397062,0.547923,0.478814
2021-09-15,0.471143,0.464205,0.474928,0.476508,0.476508,0.060144,0.479957,0.502067,0.484928,0.497594,0.699591,0.552504,0.397474,0.559845,0.481128
2021-09-16,0.479604,0.466463,0.485075,0.477788,0.477788,0.044621,0.480644,0.507265,0.48841,0.501269,0.782567,0.74772,0.400208,0.565798,0.482493
2021-09-17,0.484272,0.468808,0.487697,0.480549,0.480549,0.199181,0.481592,0.511694,0.491783,0.504907,0.760433,0.661698,0.3992,0.578936,0.483661
